step,value
250,-3.660844231490046e-05
500,-0.001061369082890451
750,-0.0023006945848464966
1000,-0.0025459870230406523
1250,-0.0019998797215521336
1500,-0.0020984443835914135
1750,-0.0025089483242481947
2000,-0.0016623612027615309
2250,-0.002130793407559395
2500,-0.0025640816893428564
2750,-0.002241820329800248
3000,-0.0019081291975453496
3250,-0.002374115400016308
3500,-0.0023128846660256386
3750,-0.002193751046434045
4000,-0.002127493731677532
4250,-0.00249637383967638
4500,-0.002231532707810402
4750,-0.0023445915430784225
5000,-0.0023540472611784935
5250,-0.002208117861300707
5500,-0.0022413404658436775
5750,-0.0022838101722300053
6000,-0.00216541881673038
6250,-0.0021654621232300997
6500,-0.002322321990504861
6750,-0.0022935718297958374
7000,-0.001913466607220471
7250,-0.0024998714216053486
7500,-0.0023926282301545143
7750,-0.0020408283453434706
8000,-0.0022460564505308867
8250,-0.002160461852326989
8500,-0.0020547290332615376
8750,-0.0020062068942934275
9000,-0.0022219663951545954
9250,-0.0022504618391394615
9500,-0.002086770022287965
9750,-0.0021794280037283897
10000,-0.002218089299276471
10250,-0.0017265516798943281
10500,-0.002123882295563817
10750,-0.001997255953028798
11000,-0.0015773506602272391
11250,-0.0020550761837512255
11500,-0.0019269585609436035
11750,-0.002038868609815836
12000,-0.0018833080539479852
12250,-0.002023333450779319
12500,-0.0019040873739868402
12750,-0.0019184730481356382
13000,-0.0019458462484180927
13250,-0.002077633747830987
13500,-0.0017522944835945964
13750,-0.0017668545478954911
14000,-0.0019833233673125505
14250,-0.001975596183910966
14500,-0.0019527580589056015
14750,-0.002014143392443657
15000,-0.0018415567465126514
15250,-0.001984319183975458
15500,-0.0020689486991614103
15750,-0.0019500384805724025
16000,-0.001879561343230307
16250,-0.0019063915824517608
16500,-0.001983375521376729
16750,-0.0019568195566534996
17000,-0.0019454732537269592
17250,-0.0019343728199601173
17500,-0.00175066152587533
17750,-0.001614149659872055
18000,-0.0018670009449124336
18250,-0.001884820987470448
18500,-0.0015833857469260693
18750,-0.0018366893054917455
19000,-0.0017300433246418834
19250,-0.0015672792214900255
19500,-0.001955340150743723
19750,-0.0017957721138373017
20000,-0.0018524689367040992
