step,value
250,149.91043090820312
500,149.97218322753906
750,149.96673583984375
1000,149.95057678222656
1250,149.95701599121094
1500,149.9694366455078
1750,149.990478515625
2000,149.97142028808594
2250,149.99085998535156
2500,149.97434997558594
2750,149.9805908203125
3000,149.9831085205078
3250,149.97634887695312
3500,149.9508819580078
3750,149.93702697753906
4000,149.9803466796875
4250,149.94773864746094
4500,149.94097900390625
4750,149.992919921875
5000,149.97796630859375
5250,149.9292755126953
5500,149.96621704101562
5750,149.98095703125
6000,149.91917419433594
6250,149.9912109375
6500,149.9687042236328
6750,149.95660400390625
7000,149.96832275390625
7250,149.9965057373047
7500,149.98570251464844
7750,149.96890258789062
8000,149.99024963378906
8250,149.98681640625
8500,149.97235107421875
8750,149.99838256835938
9000,149.9362030029297
9250,149.9674835205078
9500,149.98609924316406
9750,149.98239135742188
10000,149.9587860107422
10250,149.99609375
10500,149.9971466064453
10750,149.9943084716797
11000,149.98692321777344
11250,149.9478302001953
11500,149.9923095703125
11750,149.96376037597656
12000,150.00787353515625
12250,150.00088500976562
12500,150.00022888183594
12750,149.97450256347656
13000,149.9956512451172
13250,149.98802185058594
13500,149.98362731933594
13750,149.9991912841797
14000,150.00393676757812
14250,149.99197387695312
14500,149.9913330078125
14750,150.01382446289062
15000,149.99505615234375
15250,150.00567626953125
15500,149.98797607421875
15750,150.0016326904297
16000,149.9832763671875
16250,150.00331115722656
16500,149.99832153320312
16750,149.962158203125
17000,149.99732971191406
17250,149.9936065673828
17500,149.9972381591797
17750,150.0019073486328
18000,149.9915313720703
18250,150.00860595703125
18500,150.01612854003906
18750,149.9951629638672
19000,149.99168395996094
19250,149.9994659423828
19500,149.98065185546875
19750,149.99252319335938
20000,150.0006103515625
