step,value
250,-0.17526115477085114
500,-8.060246467590332
750,-8.127211570739746
1000,-0.20575684309005737
1250,-8.044201850891113
1500,-4.942260265350342
1750,-0.2309349924325943
2000,-0.22449736297130585
2250,-4.955658912658691
2500,-8.059938430786133
2750,-0.17042824625968933
3000,-4.920206546783447
3250,-8.075709342956543
3500,-8.057633399963379
3750,-8.040371894836426
4000,-0.26599758863449097
4250,-0.1985238641500473
4500,-0.18201591074466705
4750,-0.25395843386650085
5000,-8.036069869995117
5250,-8.044607162475586
5500,-8.045738220214844
5750,-8.03727912902832
6000,-0.21198512613773346
6250,-0.2991054356098175
6500,-4.922361850738525
6750,-0.27820053696632385
7000,-0.24429745972156525
7250,-0.20276328921318054
7500,-7.857452869415283
7750,-0.17955639958381653
8000,-8.0437650680542
8250,-4.916966915130615
8500,-0.1913670301437378
8750,-4.968049049377441
9000,-4.924654960632324
9250,-0.18852965533733368
9500,-8.071955680847168
9750,-0.3156161308288574
10000,-8.055898666381836
10250,-8.0546875
10500,-4.936580657958984
10750,-4.919991970062256
11000,-4.931760787963867
11250,-8.058104515075684
11500,-4.9364190101623535
11750,-0.15821847319602966
12000,-4.939433574676514
12250,-4.930950164794922
12500,-0.20935115218162537
12750,-4.935185432434082
13000,-8.040725708007812
13250,-4.919075012207031
13500,-4.93677282333374
13750,-4.93985652923584
14000,-8.044286727905273
14250,-0.1969723105430603
14500,-4.933818817138672
14750,-8.042399406433105
15000,-8.037165641784668
15250,-0.2255234271287918
15500,-4.9434051513671875
15750,-0.18836455047130585
16000,-0.22784638404846191
16250,-4.944114685058594
16500,-4.941677093505859
16750,-4.922383785247803
17000,-8.035195350646973
17250,-4.941671371459961
17500,-0.23646925389766693
17750,-4.956976890563965
18000,-8.036192893981934
18250,-8.03083324432373
18500,-4.946784973144531
18750,-4.917608261108398
19000,-4.921079158782959
19250,-4.953241348266602
19500,-8.044509887695312
19750,-8.045896530151367
20000,-0.17159190773963928
