step,value
480,-0.0002504430303815752
960,-0.0009404834709130228
1440,-0.0007536200573667884
1920,-0.0005239105666987598
2400,-0.0004599627573043108
2880,-0.00042946983012370765
3360,-0.0004023650835733861
3840,-0.00037957660970278084
4320,-0.00035903355455957353
4800,-0.00034252676414325833
5280,-0.00781585555523634
5760,-0.013848374597728252
6240,-0.011709995567798615
6720,-0.010419581085443497
7200,-0.00939066894352436
7680,-0.008408751338720322
8160,-0.007724719122052193
8640,-0.007164572365581989
9120,-0.006646179594099522
9600,-0.006274661049246788
10080,-0.005891821347177029
10560,-0.00549593660980463
11040,-0.005271436646580696
11520,-0.005034151021391153
12000,-0.004741395357996225
12480,-0.004542795941233635
12960,-0.004388092551380396
13440,-0.00420562457293272
13920,-0.0040713148191571236
14400,-0.0039509376510977745
14880,-0.003776360070332885
15360,-0.003643554635345936
15840,-0.003521398175507784
16320,-0.003373498562723398
16800,-0.0032754845451563597
17280,-0.00318525149486959
17760,-0.0030995968263596296
18240,-0.0030066168401390314
18720,-0.002942601451650262
19200,-0.0028896783478558064
19680,-0.002834886545315385
20160,-0.002757067559286952
20640,-0.0026757752057164907
21120,-0.0026391157880425453
21600,-0.002595100086182356
22080,-0.0025701511185616255
22560,-0.0025284362491220236
23040,-0.0024665668606758118
23520,-0.002387173008173704
24000,-0.0023326310329139233
24480,-0.0022928565740585327
24960,-0.0022532904986292124
25440,-0.0022056305315345526
25920,-0.0021653100848197937
26400,-0.002126401523128152
26880,-0.002081769984215498
27360,-0.0020296412985771894
27840,-0.002010539174079895
28320,-0.0019822476897388697
28800,-0.001947656157426536
29280,-0.00191473716404289
29760,-0.0018781039398163557
30240,-0.0018432458164170384
30720,-0.0017980170669034123
31200,-0.0017696318682283163
31680,-0.0017471166793256998
32160,-0.0017091430490836501
32640,-0.0016866647638380527
33120,-0.001668008859269321
33600,-0.001667332137003541
34080,-0.0016434896970167756
34560,-0.001617017318494618
35040,-0.001593095948919654
35520,-0.0015682093799114227
36000,-0.0015592352719977498
36480,-0.001530416659079492
36960,-0.0015120021998882294
37440,-0.001500460202805698
37920,-0.001477676909416914
38400,-0.0014525880105793476
38880,-0.0014343888033181429
39360,-0.0014123577857390046
39840,-0.001396055449731648
40320,-0.0013673370704054832
40800,-0.001354701234959066
41280,-0.0013502378715202212
41760,-0.0013390012318268418
42240,-0.0013185093412175775
42720,-0.0013154047774150968
43200,-0.0013104283716529608
43680,-0.0012967578368261456
44160,-0.0012729953741654754
44640,-0.0012479444267228246
45120,-0.001221038051880896
45600,-0.0011959611438214779
46080,-0.0011753662256523967
46560,-0.0011539222905412316
47040,-0.001140112173743546
47520,-0.0011244883062317967
48000,-0.001111707417294383
