step,value
480,-0.02359265647828579
960,-0.07942155003547668
1440,-0.044776204973459244
1920,-0.024685513228178024
2400,-0.020126957446336746
2880,-0.01797863468527794
3360,-0.01650107651948929
3840,-0.01575668342411518
4320,-0.015167630277574062
4800,-0.014510685577988625
5280,-0.014035581611096859
5760,-0.01362854428589344
6240,-0.013114875182509422
6720,-0.012975718826055527
7200,-0.012747164815664291
7680,-0.012487375177443027
8160,-0.012351138517260551
8640,-0.01230549719184637
9120,-0.012293819338083267
9600,-0.012190761044621468
10080,-0.012146418914198875
10560,-0.011844700202345848
11040,-0.01177999284118414
11520,-0.011620849370956421
12000,-0.011565635912120342
12480,-0.01145893707871437
12960,-0.011370467022061348
13440,-0.011236979626119137
13920,-0.011207817122340202
14400,-0.011109660379588604
14880,-0.01097311545163393
15360,-0.011020609177649021
15840,-0.011008097790181637
16320,-0.010957391932606697
16800,-0.010821420699357986
17280,-0.010680237784981728
17760,-0.010766812600195408
18240,-0.010636797174811363
18720,-0.010515181347727776
19200,-0.010674910619854927
19680,-0.010523260571062565
20160,-0.010458968579769135
20640,-0.010332017205655575
21120,-0.010319646447896957
21600,-0.01026119478046894
22080,-0.010294569656252861
22560,-0.010327097028493881
23040,-0.01018543355166912
23520,-0.010114342905580997
24000,-0.010102946311235428
24480,-0.009976863861083984
24960,-0.010121988132596016
25440,-0.009970717132091522
25920,-0.009961921721696854
26400,-0.009950698353350163
26880,-0.010046727024018764
27360,-0.010078039951622486
27840,-0.009926289319992065
28320,-0.009994829073548317
28800,-0.010103780776262283
29280,-0.009856393560767174
29760,-0.009807084687054157
30240,-0.00983731634914875
30720,-0.009879621677100658
31200,-0.009736552834510803
31680,-0.009634939953684807
32160,-0.009609013795852661
32640,-0.009675750508904457
33120,-0.009707876481115818
33600,-0.009535838849842548
34080,-0.009563382714986801
34560,-0.009567155502736568
35040,-0.009510482661426067
35520,-0.00947426725178957
36000,-0.009525684639811516
36480,-0.009552176110446453
36960,-0.00947594828903675
37440,-0.00944227073341608
37920,-0.00953085906803608
38400,-0.00948810763657093
38880,-0.009441427886486053
39360,-0.009296680800616741
39840,-0.009464358910918236
40320,-0.009471640922129154
40800,-0.009429536759853363
41280,-0.009308272041380405
41760,-0.009363161399960518
42240,-0.009284705854952335
42720,-0.009276734665036201
43200,-0.009251420386135578
43680,-0.009317819029092789
44160,-0.009208432398736477
44640,-0.009250246919691563
45120,-0.009115936234593391
45600,-0.009238731116056442
46080,-0.009125940501689911
46560,-0.00913817249238491
47040,-0.009204734116792679
47520,-0.009118198417127132
48000,-0.009240658022463322
