step,value
480,-0.0012990033719688654
960,-0.0049216365441679955
1440,-0.00410735746845603
1920,-0.0031651300378143787
2400,-0.002817884087562561
2880,-0.0025836960412561893
3360,-0.0023970361799001694
3840,-0.0022913457360118628
4320,-0.002210046164691448
4800,-0.0021279205102473497
5280,-0.011013176292181015
5760,-0.018620260059833527
6240,-0.017207656055688858
6720,-0.016406221315264702
7200,-0.015780484303832054
7680,-0.015159412287175655
8160,-0.01481197215616703
8640,-0.01446022279560566
9120,-0.014134925790131092
9600,-0.013877453282475471
10080,-0.013690144754946232
10560,-0.013309864327311516
11040,-0.013028927147388458
11520,-0.012850985862314701
12000,-0.012653210200369358
12480,-0.012475811876356602
12960,-0.01225324161350727
13440,-0.01206558384001255
13920,-0.011994114145636559
14400,-0.01176740787923336
14880,-0.01164194568991661
15360,-0.011381414718925953
15840,-0.011312641203403473
16320,-0.011154133826494217
16800,-0.011066903360188007
17280,-0.010849284008145332
17760,-0.010636413469910622
18240,-0.010580738075077534
18720,-0.010374553501605988
19200,-0.010142452083528042
19680,-0.010071252472698689
20160,-0.009954243898391724
20640,-0.009743566624820232
21120,-0.009544450789690018
21600,-0.00944534596055746
22080,-0.009235612116754055
22560,-0.009074382483959198
23040,-0.009017178788781166
23520,-0.00891685951501131
24000,-0.008854025974869728
24480,-0.008786750957369804
24960,-0.008630119264125824
25440,-0.008534873835742474
25920,-0.008339060470461845
26400,-0.008313841186463833
26880,-0.008211873471736908
27360,-0.008129920810461044
27840,-0.008079512044787407
28320,-0.007941525429487228
28800,-0.007908543571829796
29280,-0.007893185131251812
29760,-0.007863141596317291
30240,-0.007822957821190357
30720,-0.00781040545552969
31200,-0.007683265954256058
31680,-0.007656644564121962
32160,-0.007548921275883913
32640,-0.0074960412457585335
33120,-0.007342666853219271
33600,-0.007371905259788036
34080,-0.007249015849083662
34560,-0.007210047449916601
35040,-0.007169483229517937
35520,-0.007124418392777443
36000,-0.007130631245672703
36480,-0.007054232992231846
36960,-0.006990545429289341
37440,-0.0069928416050970554
37920,-0.006909955758601427
38400,-0.006939186714589596
38880,-0.0069472910836339
39360,-0.006924997083842754
39840,-0.006907672621309757
40320,-0.0068350741639733315
40800,-0.006828217767179012
41280,-0.00672793248668313
41760,-0.006692931987345219
42240,-0.006585821509361267
42720,-0.006547505501657724
43200,-0.006502191070467234
43680,-0.00649144034832716
44160,-0.006415757350623608
44640,-0.006413598079234362
45120,-0.006306295748800039
45600,-0.006301783490926027
46080,-0.006247429642826319
46560,-0.00617636926472187
47040,-0.006121448241174221
47520,-0.006051824893802404
48000,-0.006021816749125719
