step,value
480,2.060075310339471e-08
960,1.400822355890341e-07
1440,4.0192381334236416e-07
1920,7.676009090573643e-07
2400,8.671584623698436e-07
2880,8.971362603915622e-07
3360,9.090352932616952e-07
3840,9.140870247392741e-07
4320,9.169942813969101e-07
4800,9.226151860275422e-07
5280,9.256717135031067e-07
5760,9.290627076552482e-07
6240,9.332694617114612e-07
6720,9.322844221060222e-07
7200,9.332359809377522e-07
7680,9.342577982351941e-07
8160,9.354779990644602e-07
8640,9.357033832202433e-07
9120,9.345475859845465e-07
9600,9.337368851447536e-07
10080,9.331533874501474e-07
10560,9.364053425997554e-07
11040,9.349150218440627e-07
11520,9.356189138998161e-07
12000,9.357243584418029e-07
12480,9.361456250189804e-07
12960,9.377080232297885e-07
13440,9.376440743835701e-07
13920,9.371477176500775e-07
14400,9.374410865348182e-07
14880,9.379232892570144e-07
15360,9.367060442855291e-07
15840,9.365044775222486e-07
16320,9.377673109156603e-07
16800,9.392079505232687e-07
17280,9.388709258928429e-07
17760,9.381589620716113e-07
18240,9.396050018040114e-07
18720,9.401271654496668e-07
19200,9.386718602399924e-07
19680,9.395987490279367e-07
20160,9.388486432726495e-07
20640,9.399919349561969e-07
21120,9.392560400556249e-07
21600,9.38538903483277e-07
22080,9.39786900744366e-07
22560,9.398311249242397e-07
23040,9.400581575391698e-07
23520,9.41304847401625e-07
24000,9.408077517036872e-07
24480,9.408731216353772e-07
24960,9.393517075295676e-07
25440,9.409420158590365e-07
25920,9.4022630037216e-07
26400,9.409886843059212e-07
26880,9.399795430908853e-07
27360,9.397720077686245e-07
27840,9.416870057066262e-07
28320,9.408897199136845e-07
28800,9.393690447723202e-07
29280,9.411279506821302e-07
29760,9.41796940878703e-07
30240,9.411184009877616e-07
30720,9.403306648891885e-07
31200,9.418628792445816e-07
31680,9.417413480150572e-07
32160,9.410845791535394e-07
32640,9.410020993527723e-07
33120,9.413424777449109e-07
33600,9.419609909855353e-07
34080,9.407644938619342e-07
34560,9.405218293068174e-07
35040,9.411946280124539e-07
35520,9.411708674633701e-07
36000,9.413989232598396e-07
36480,9.406239200870914e-07
36960,9.405254104422056e-07
37440,9.410298389411764e-07
37920,9.400996532349382e-07
38400,9.403887588632642e-07
38880,9.405849823451717e-07
39360,9.410204029336455e-07
39840,9.388301691615197e-07
40320,9.391505386702192e-07
40800,9.393044138050755e-07
41280,9.401090892424691e-07
41760,9.391055755259003e-07
42240,9.410506436324795e-07
42720,9.406257390764949e-07
43200,9.403852345712949e-07
43680,9.400420708516322e-07
44160,9.407007723893912e-07
44640,9.404462275597325e-07
45120,9.40713505315216e-07
45600,9.398311817676586e-07
46080,9.397239750796871e-07
46560,9.402550631421036e-07
47040,9.387061936649843e-07
47520,9.394542530571925e-07
48000,9.39071014727233e-07
