step,value
1500,-0.0010216623777523637
3000,-0.0012854862725362182
4500,-0.0012094636913388968
6000,-0.030886543914675713
7500,-0.031940825283527374
9000,-0.021872583776712418
10500,-0.014769373461604118
12000,-0.010465189814567566
13500,-0.007990799844264984
15000,-0.005196918733417988
16500,-0.005751898977905512
18000,-0.00504724308848381
19500,-0.00471582030877471
21000,-0.004001586232334375
22500,-0.0038655262906104326
24000,-0.00351828639395535
25500,-0.0035481767263263464
27000,-0.003289448795840144
28500,-0.002949186135083437
30000,-0.0027704534586519003
31500,-0.0032680791337043047
33000,-0.002647889545187354
34500,-0.0025544089730829
36000,-0.002402516547590494
37500,-0.002443581121042371
39000,-0.0023004685062915087
40500,-0.0021887230686843395
42000,-0.002365362597629428
43500,-0.0024858794640749693
45000,-0.002527441829442978
46500,-0.002234869170933962
48000,-0.002501498209312558
49500,-0.0022913196589797735
51000,-0.002106265863403678
52500,-0.0023207571357488632
54000,-0.0021731972228735685
55500,-0.0022156478371471167
57000,-0.0022662722039967775
58500,-0.002253614366054535
60000,-0.0022158401552587748
61500,-0.002103735227137804
63000,-0.0020262335892766714
64500,-0.0020727592054754496
66000,-0.0021744356490671635
67500,-0.0024184102658182383
69000,-0.002336145844310522
70500,-0.002113958587870002
72000,-0.0019028324168175459
73500,-0.002237731823697686
75000,-0.002194091910496354
76500,-0.002153918379917741
78000,-0.002034479985013604
79500,-0.0019400115124881268
81000,-0.002493977779522538
82500,-0.002660236554220319
84000,-0.002399947727099061
85500,-0.002293074270710349
87000,-0.0022956780157983303
88500,-0.002410945715382695
90000,-0.0023979395627975464
91500,-0.002544332528486848
93000,-0.0025627983268350363
94500,-0.002491515129804611
96000,-0.0023728683590888977
97500,-0.0028902776539325714
99000,-0.0027657398022711277
100500,-0.0022872556000947952
102000,-0.0028775529935956
103500,-0.002282987115904689
105000,-0.002391066402196884
106500,-0.0026537131052464247
108000,-0.002427074359729886
109500,-0.0024435799568891525
111000,-0.0027501664590090513
112500,-0.0028177753556519747
114000,-0.003061645897105336
115500,-0.002344765467569232
117000,-0.0027831336483359337
118500,-0.002431117929518223
120000,-0.0029224702157080173
121500,-0.0026363148353993893
123000,-0.0029177984688431025
124500,-0.0031532442662864923
126000,-0.002936432370916009
127500,-0.0025646346621215343
129000,-0.00277326931245625
130500,-0.0033669236581772566
132000,-0.0030395048670470715
133500,-0.002691886853426695
135000,-0.002611784730106592
136500,-0.0029385676607489586
138000,-0.0028336397372186184
139500,-0.0027829091995954514
141000,-0.0029960470274090767
142500,-0.0027417095843702555
144000,-0.0028755278326570988
145500,-0.0033160438761115074
147000,-0.0033724489621818066
148500,-0.0030698508489876986
150000,-0.0032420726493000984
