step,value
1500,1.8410039714922277e-08
3000,4.1544463869058745e-08
4500,5.883250864258116e-08
6000,6.49207905212279e-08
7500,9.395986921845179e-08
9000,2.5771126388463017e-07
10500,3.9374111793222255e-07
12000,4.5449479557646555e-07
13500,4.430825129020377e-07
15000,2.962665348604787e-07
16500,5.293873641676328e-07
18000,5.270648557598179e-07
19500,3.734276390332525e-07
21000,4.1312159737572074e-07
22500,4.929813144372019e-07
24000,4.4561707568391284e-07
25500,5.105854370412999e-07
27000,6.732907991136017e-07
28500,6.860561825305922e-07
30000,5.028284135732974e-07
31500,5.378091145757935e-07
33000,5.382597123571031e-07
34500,5.240682412477327e-07
36000,4.409415339523548e-07
37500,5.064842980573303e-07
39000,4.245092384280724e-07
40500,4.013418504200672e-07
42000,3.713488183620939e-07
43500,5.000675855626469e-07
45000,3.728668502844812e-07
46500,6.523568458760565e-07
48000,3.4683557714743074e-07
49500,3.8821605130578973e-07
51000,3.936372365842544e-07
52500,5.448893602988392e-07
54000,4.19170021359605e-07
55500,4.742482246911095e-07
57000,5.11884024945175e-07
58500,4.4230029061509413e-07
60000,6.349117143145122e-07
61500,4.3575062136369525e-07
63000,5.193001015868504e-07
64500,3.8460257201222703e-07
66000,3.7907642536083586e-07
67500,6.062198281142628e-07
69000,4.3813446382046095e-07
70500,2.8688378961305716e-07
72000,4.7544546077915584e-07
73500,5.15597434969095e-07
75000,2.817101858454407e-07
76500,6.565081207554613e-07
78000,4.2838178160309326e-07
79500,5.813351435790537e-07
81000,3.9947155983099947e-07
82500,5.590214300355001e-07
84000,3.8986283357189677e-07
85500,4.3583355591181316e-07
87000,5.226879125075357e-07
88500,3.252468445680279e-07
90000,4.911123596684774e-07
91500,6.310872322501382e-07
93000,3.7460208091033564e-07
94500,4.929256647301372e-07
96000,5.849221906828461e-07
97500,3.0554383556591347e-07
99000,3.7653171602869406e-07
100500,3.5643776641336444e-07
102000,4.6001798637007596e-07
103500,5.937372975495236e-07
105000,5.539671406040725e-07
106500,3.6292874483478954e-07
108000,4.600238128205092e-07
109500,5.547585715248715e-07
111000,5.652169647873961e-07
112500,5.704700924979988e-07
114000,5.742129474128888e-07
115500,5.75841454519832e-07
117000,5.957792268418416e-07
118500,4.191774110040569e-07
120000,3.8060611018408963e-07
121500,4.296573479223298e-07
123000,3.3685020639495633e-07
124500,4.131685784614092e-07
126000,4.819384571419505e-07
127500,6.595356580874068e-07
129000,6.14990142366878e-07
130500,5.401533940130321e-07
132000,5.629776751447935e-07
133500,5.657411179527116e-07
135000,3.296255783880042e-07
136500,5.396628353082633e-07
138000,5.486104441843054e-07
139500,5.524137804968632e-07
141000,4.877785499957099e-07
142500,5.517193244486407e-07
144000,4.116426168820908e-07
145500,6.403819270417443e-07
147000,3.924117777387437e-07
148500,5.515299221769965e-07
150000,5.547123009819188e-07
