step,value
1500,1.7466862678450212e-10
3000,4.418579391263222e-10
4500,5.92971061141867e-10
6000,6.7532329728337e-10
7500,1.0932961203025116e-09
9000,2.7218483023006e-09
10500,9.811943257886924e-09
12000,1.9929414563080172e-08
13500,2.9542654544911784e-08
15000,3.16764250385404e-08
16500,8.81181634326822e-08
18000,1.2916981972921349e-07
19500,1.3270411614030309e-07
21000,1.118348293971394e-07
22500,8.657725913963077e-08
24000,1.3216303784702177e-07
25500,8.783274552115472e-08
27000,1.9285805308300041e-07
28500,2.570473895957548e-07
30000,1.5326503444157424e-07
31500,1.7543234775985184e-07
33000,2.531079417167348e-07
34500,3.5815606480582574e-08
36000,1.6541135039460642e-07
37500,1.36861473265526e-07
39000,2.455595335959515e-07
40500,2.008414412557613e-07
42000,1.6484553100326593e-07
43500,1.392985069514907e-07
45000,1.90190675652957e-07
46500,4.425142208219768e-07
48000,2.119182624937821e-07
49500,2.2237693997340102e-07
51000,8.304154874849701e-08
52500,2.967150294352905e-07
54000,8.716283872445274e-08
55500,2.933834082341491e-07
57000,1.5777982298459392e-07
58500,2.808938859288901e-07
60000,4.155211001943826e-07
61500,3.246877611218224e-07
63000,2.087150789975567e-07
64500,2.402811674073746e-07
66000,3.071802439080784e-07
67500,2.255601145861874e-07
69000,8.382975380527569e-08
70500,1.5104589579095773e-08
72000,1.4514837687329418e-07
73500,2.2127854037989891e-07
75000,1.6622772136543063e-07
76500,3.687371759042435e-07
78000,2.675858752354543e-07
79500,2.537243517508614e-07
81000,2.6106596351382905e-07
82500,2.3599078247116267e-07
84000,2.2361938079029642e-07
85500,2.5583361207281996e-07
87000,2.7895870857719274e-07
88500,1.616214717614639e-07
90000,2.626342165967799e-07
91500,2.6780850248542265e-07
93000,2.057080905615294e-07
94500,2.651788406637934e-07
96000,2.5789893243199913e-07
97500,2.1162658470075257e-07
99000,2.4225559513979533e-07
100500,1.8767450171708333e-07
102000,2.1806248184930155e-07
103500,3.136582336082938e-07
105000,3.673351613997511e-07
106500,2.8671044560724113e-07
108000,2.1020555607265123e-07
109500,2.819347173499409e-07
111000,3.1259924071491696e-07
112500,3.359754146003979e-07
114000,1.3439147039662203e-07
115500,3.265938062213536e-07
117000,2.5270810510846786e-07
118500,2.1663258564785792e-07
120000,1.250363226290574e-07
121500,1.7283326769756968e-07
123000,1.3912828933371202e-07
124500,2.2635825303041202e-07
126000,1.9361833381026372e-07
127500,2.1832715901837219e-07
129000,4.099076988950401e-07
130500,3.184678689649445e-07
132000,2.91228417381717e-07
133500,4.198605552119261e-07
135000,2.1550167161876743e-07
136500,2.901054187987029e-07
138000,3.06338534983297e-07
139500,3.0772872605666635e-07
141000,3.018288907696842e-07
142500,3.726563591044396e-07
144000,2.7299597604724113e-07
145500,3.645250785666576e-07
147000,1.0182699128336026e-07
148500,2.683343893750134e-07
150000,2.8854054789917427e-07
