step,value
1500,9.638053688476589e-10
3000,2.303365720379702e-09
4500,2.344577199053788e-09
6000,2.5817818993800756e-09
7500,4.282712851022552e-09
9000,7.246081068501553e-09
10500,1.546659333939715e-08
12000,2.990601899455214e-08
13500,4.6433438427584406e-08
15000,6.636808791427029e-08
16500,1.0329389965590963e-07
18000,1.3465015058500285e-07
19500,1.9847091436986375e-07
21000,1.8984400185217964e-07
22500,1.0734851940696899e-07
24000,1.9199094936084293e-07
25500,1.6540280967092258e-07
27000,2.508052716621023e-07
28500,3.1829972613195423e-07
30000,1.6220900533880922e-07
31500,1.8318978334264102e-07
33000,3.306268183678185e-07
34500,1.5814407561265398e-07
36000,3.0592869393331057e-07
37500,1.7288641629420454e-07
39000,3.670968169444677e-07
40500,3.2479027822773787e-07
42000,3.0615058221883373e-07
43500,2.1940651606655592e-07
45000,3.678325697364926e-07
46500,5.330372232492664e-07
48000,2.954624847006926e-07
49500,2.304396673480369e-07
51000,2.2626510087775387e-07
52500,3.305572988665517e-07
54000,2.674987342743407e-07
55500,3.93273552390383e-07
57000,2.389530209256918e-07
58500,3.6972915040678345e-07
60000,4.918007903143007e-07
61500,4.707693506134092e-07
63000,3.562422534741927e-07
64500,4.965078232999076e-07
66000,3.7354783444243367e-07
67500,3.418542746658204e-07
69000,1.779277738478413e-07
70500,1.5981903800366126e-07
72000,2.9258504241624905e-07
73500,3.171770970311627e-07
75000,4.843931833420356e-07
76500,4.6638706407975405e-07
78000,3.000313313350489e-07
79500,2.9558790970440896e-07
81000,4.301298019981914e-07
82500,3.7349099102357286e-07
84000,3.5198755199417064e-07
85500,3.079638020153652e-07
87000,3.4338319210291957e-07
88500,3.836691462311137e-07
90000,5.232022886048071e-07
91500,2.772887341961905e-07
93000,3.1925921462061524e-07
94500,3.8462914631054446e-07
96000,3.2499795565854583e-07
97500,3.6600135899789166e-07
99000,4.5290721573110204e-07
100500,2.988179801377555e-07
102000,2.4556769062655803e-07
103500,3.852356655897893e-07
105000,4.4566493784259364e-07
106500,4.76688910566736e-07
108000,3.093885254656925e-07
109500,2.9393814315881173e-07
111000,3.761052767004003e-07
112500,4.1742356415852555e-07
114000,2.3447793751074641e-07
115500,3.655204352526198e-07
117000,3.97115798023151e-07
118500,3.001962625148735e-07
120000,1.9515265137215465e-07
121500,3.1159842706074414e-07
123000,2.630184496865695e-07
124500,4.880910751126066e-07
126000,4.151694383836002e-07
127500,3.411605575820431e-07
129000,4.7432155270143994e-07
130500,4.241399835791526e-07
132000,4.6689305577274354e-07
133500,5.111569976179453e-07
135000,4.319596769164491e-07
136500,4.7649956513851066e-07
138000,5.516034207175835e-07
139500,4.2653581999729795e-07
141000,4.936605932925886e-07
142500,5.48399043509562e-07
144000,4.179260599812551e-07
145500,4.110996769668418e-07
147000,2.0912365528147348e-07
148500,3.841487057343329e-07
150000,3.471705838364869e-07
