step,value
1500,-0.023445168510079384
3000,-0.027305398136377335
4500,-0.02322421595454216
6000,-0.08282402902841568
7500,-0.07171791791915894
9000,-0.03152354434132576
10500,-0.03287636861205101
12000,-0.028733612969517708
13500,-0.027353433892130852
15000,-5.013850688934326
16500,-0.026845484972000122
18000,-0.027168668806552887
19500,-0.05662897229194641
21000,-0.032648779451847076
22500,-0.027148492634296417
24000,-0.042225852608680725
25500,-0.030315250158309937
27000,-0.02822391875088215
28500,-0.06553344428539276
30000,-0.04291480779647827
31500,-0.030944589525461197
33000,-0.03217393159866333
34500,-0.03270332142710686
36000,-0.04575401544570923
37500,-0.11320625245571136
39000,-0.0302402563393116
40500,-0.028891775757074356
42000,-0.027752108871936798
43500,-0.026045219972729683
45000,-0.027906600385904312
46500,-0.028304167091846466
48000,-0.03669782355427742
49500,-0.028550781309604645
51000,-0.03010895475745201
52500,-0.028500862419605255
54000,-0.029006965458393097
55500,-0.032106269150972366
57000,-0.03662341833114624
58500,-0.035380616784095764
60000,-0.03146106004714966
61500,-0.04014217108488083
63000,-0.031763918697834015
64500,-0.028454303741455078
66000,-0.02653169259428978
67500,-0.03434133157134056
69000,-0.033012375235557556
70500,-0.028589539229869843
72000,-0.11577081680297852
73500,-0.08897695690393448
75000,-0.02954142540693283
76500,-0.04937956482172012
78000,-0.4184517562389374
79500,-0.02688702568411827
81000,-0.028665507212281227
82500,-0.09715330600738525
84000,-0.028735090047121048
85500,-0.029781730845570564
87000,-0.05475117638707161
88500,-0.046282581984996796
90000,-0.030907470732927322
91500,-0.034726936370134354
93000,-0.029256120324134827
94500,-0.036141932010650635
96000,-0.03322601318359375
97500,-0.029489882290363312
99000,-0.04607798904180527
100500,-0.029227951541543007
102000,-0.04921213909983635
103500,-0.05165504664182663
105000,-0.04100938141345978
106500,-0.02733129821717739
108000,-0.031144116073846817
109500,-0.05984586477279663
111000,-0.09895892441272736
112500,-0.03381623327732086
114000,-0.03432764485478401
115500,-0.038916658610105515
117000,-0.030350157991051674
118500,-0.0390024408698082
120000,-0.040275491774082184
121500,-0.07449979335069656
123000,-0.02737012319266796
124500,-0.11385708302259445
126000,-0.12624578177928925
127500,-0.029017619788646698
129000,-0.04463788494467735
130500,-0.08992668986320496
132000,-0.029249662533402443
133500,-0.05218278616666794
135000,-0.051183268427848816
136500,-0.04728345945477486
138000,-0.042799510061740875
139500,-0.032700520008802414
141000,-0.06068979576230049
142500,-0.04499364271759987
144000,-0.033275067806243896
145500,-0.03264934569597244
147000,-0.029221542179584503
148500,-0.03152015805244446
150000,-0.03681204468011856
