step,value
1500,-5.696521282196045
3000,-5.129816055297852
4500,-5.545269012451172
6000,-6.091341495513916
7500,-5.883963584899902
9000,-4.994256019592285
10500,-4.913739204406738
12000,-4.402003765106201
13500,-4.386817932128906
15000,-5.039322853088379
16500,-4.749276638031006
18000,-5.277473449707031
19500,-4.3083882331848145
21000,-5.086812496185303
22500,-3.7576751708984375
24000,-2.9554052352905273
25500,-4.692131042480469
27000,-3.3510234355926514
28500,-3.2229695320129395
30000,-4.310917377471924
31500,-5.222290515899658
33000,-4.8447442054748535
34500,-4.618956565856934
36000,-3.421912908554077
37500,-5.2236714363098145
39000,-4.980154991149902
40500,-3.7609708309173584
42000,-4.629183769226074
43500,-2.75500750541687
45000,-2.6309778690338135
46500,-2.86985445022583
48000,-4.775847434997559
49500,-4.155231475830078
51000,-4.766904830932617
52500,-3.9233245849609375
54000,-4.513772487640381
55500,-4.602269649505615
57000,-3.1577463150024414
58500,-4.337697505950928
60000,-3.790213108062744
61500,-2.9465906620025635
63000,-2.523092746734619
64500,-4.380964756011963
66000,-2.436523199081421
67500,-3.327791929244995
69000,-2.619871139526367
70500,-2.881338596343994
72000,-3.3558509349823
73500,-3.770195484161377
75000,-4.172573089599609
76500,-2.6461057662963867
78000,-2.600071668624878
79500,-3.9442026615142822
81000,-5.06699800491333
82500,-4.14797830581665
84000,-3.590378999710083
85500,-4.5640387535095215
87000,-3.04058575630188
88500,-4.924251079559326
90000,-3.6796202659606934
91500,-4.895357608795166
93000,-3.7576985359191895
94500,-3.171109914779663
96000,-2.8602099418640137
97500,-2.7014262676239014
99000,-2.5411946773529053
100500,-3.3323116302490234
102000,-2.7787461280822754
103500,-3.5210368633270264
105000,-3.8629400730133057
106500,-4.73109769821167
108000,-2.8077399730682373
109500,-5.181911945343018
111000,-4.709263801574707
112500,-4.782463550567627
114000,-4.655293941497803
115500,-5.295437812805176
117000,-3.462104320526123
118500,-2.7203586101531982
120000,-3.469653367996216
121500,-3.5740628242492676
123000,-3.056145668029785
124500,-3.2803993225097656
126000,-2.407470226287842
127500,-3.6553797721862793
129000,-3.9357059001922607
130500,-3.923933982849121
132000,-2.7300686836242676
133500,-2.832735300064087
135000,-4.567764759063721
136500,-2.3002216815948486
138000,-3.4441235065460205
139500,-4.768616676330566
141000,-4.754018783569336
142500,-2.9138782024383545
144000,-3.934903860092163
145500,-2.3980555534362793
147000,-2.8375699520111084
148500,-3.940545082092285
150000,-3.2527618408203125
