step,value
480,360.0
960,360.0
1440,360.0
1920,360.0
2400,360.0
2880,360.0
3360,360.0
3840,360.0
4320,360.0
4800,360.0
5280,360.0
5760,360.0
6240,360.0
6720,360.0
7200,360.0
7680,360.0
8160,360.0
8640,360.0
9120,360.0
9600,360.0
10080,360.0
10560,360.0
11040,360.0
11520,360.0
12000,360.0
12480,360.0
12960,360.0
13440,360.0
13920,360.0
14400,360.0
14880,360.0
15360,360.0
15840,360.0
16320,360.0
16800,360.0
17280,360.0
17760,360.0
18240,360.0
18720,360.0
19200,360.0
19680,360.0
20160,360.0
20640,360.0
21120,360.0
21600,360.0
22080,360.0
22560,360.0
23040,360.0
23520,360.0
24000,360.0
24480,360.0
24960,360.0
25440,360.0
25920,360.0
26400,360.0
26880,360.0
27360,360.0
27840,360.0
28320,360.0
28800,360.0
29280,360.0
29760,360.0
30240,360.0
30720,360.0
31200,360.0
31680,360.0
32160,360.0
32640,360.0
33120,360.0
33600,360.0
34080,360.0
34560,360.0
35040,360.0
35520,360.0
36000,360.0
36480,360.0
36960,360.0
37440,360.0
37920,360.0
38400,360.0
38880,360.0
39360,360.0
39840,360.0
40320,360.0
40800,360.0
41280,360.0
41760,360.0
42240,360.0
42720,360.0
43200,360.0
43680,360.0
44160,360.0
44640,360.0
45120,360.0
45600,360.0
46080,360.0
46560,360.0
47040,360.0
47520,360.0
48000,360.0
