step,value
480,-0.0003409880446270108
960,-0.001304323086515069
1440,-0.0011133024236187339
1920,-0.00089666509302333
2400,-0.0008223693585023284
2880,-0.000776965927798301
3360,-0.0007570373127236962
3840,-0.0007458000327460468
4320,-0.0007196986698545516
4800,-0.0007022751960903406
5280,-0.01448045764118433
5760,-0.02192848175764084
6240,-0.015526870265603065
6720,-0.013035869225859642
7200,-0.011387812905013561
7680,-0.009987812489271164
8160,-0.009058254770934582
8640,-0.00841771624982357
9120,-0.0077778659760952
9600,-0.007299840450286865
10080,-0.006843372713774443
10560,-0.006390121299773455
11040,-0.006074363365769386
11520,-0.0057698944583535194
12000,-0.00543927401304245
12480,-0.005233395379036665
12960,-0.005076232366263866
13440,-0.004876427352428436
13920,-0.004769599065184593
14400,-0.004626357462257147
14880,-0.004474315792322159
15360,-0.0043473197147250175
15840,-0.004284095484763384
16320,-0.004128732718527317
16800,-0.004031716845929623
17280,-0.00391714833676815
17760,-0.00384939881041646
18240,-0.0037681381218135357
18720,-0.00368627835996449
19200,-0.0036396225914359093
19680,-0.0035719971638172865
20160,-0.003504700493067503
20640,-0.0034396271221339703
21120,-0.0033815796487033367
21600,-0.0033200113102793694
22080,-0.003284493228420615
22560,-0.0032502547837793827
23040,-0.0031907563097774982
23520,-0.0031337544787675142
24000,-0.003097162116318941
24480,-0.0030709742568433285
24960,-0.003033297136425972
25440,-0.0029680340085178614
25920,-0.002923708176240325
26400,-0.0029118615202605724
26880,-0.002890034345909953
27360,-0.0028600571677088737
27840,-0.002841512206941843
28320,-0.002799399895593524
28800,-0.002771200845018029
29280,-0.0027416422963142395
29760,-0.002733794739469886
30240,-0.002725165104493499
30720,-0.0027267455589026213
31200,-0.0026800944469869137
31680,-0.002643714426085353
32160,-0.0026040247175842524
32640,-0.0025849819649010897
33120,-0.0025509900879114866
33600,-0.0025195307098329067
34080,-0.0024960485752671957
34560,-0.0024828810710459948
35040,-0.002478008856996894
35520,-0.002447243081405759
36000,-0.00245659495703876
36480,-0.0024088905192911625
36960,-0.0023672967217862606
37440,-0.0023385207168757915
37920,-0.0023072517942637205
38400,-0.002294115722179413
38880,-0.0023015907499939203
39360,-0.002264572074636817
39840,-0.0022759228013455868
40320,-0.002250451361760497
40800,-0.0022313236258924007
41280,-0.002220469992607832
41760,-0.0022339525166898966
42240,-0.002210147911682725
42720,-0.0022058477625250816
43200,-0.002191488165408373
43680,-0.002177928341552615
44160,-0.002142190933227539
44640,-0.002136827679350972
45120,-0.0021236350294202566
45600,-0.002120459685102105
46080,-0.002109187189489603
46560,-0.00210023601539433
47040,-0.002088959561660886
47520,-0.002087964676320553
48000,-0.002079291269183159
