step,value
480,8.552877295286976e-10
960,1.3222344996677293e-08
1440,1.1122426002430075e-07
1920,4.322290010350116e-07
2400,6.487095447482716e-07
2880,7.520232543356542e-07
3360,8.149928021339292e-07
3840,8.397321948905301e-07
4320,8.532845754416485e-07
4800,8.670271540722752e-07
5280,8.722694246898754e-07
5760,8.784135729911213e-07
6240,8.820766765893495e-07
6720,8.859159947860462e-07
7200,8.882758493200527e-07
7680,8.912002726901846e-07
8160,8.935168125390192e-07
8640,8.951585073191382e-07
9120,8.957823069977167e-07
9600,8.971715033112559e-07
10080,8.982907502286253e-07
10560,8.983905672721448e-07
11040,8.9912680323323e-07
11520,9.003057357404032e-07
12000,9.011960173666012e-07
12480,9.023243592309882e-07
12960,9.019108233587758e-07
13440,9.015623732011591e-07
13920,9.01131159025681e-07
14400,9.006673735711956e-07
14880,9.016828244057251e-07
15360,9.018668265525775e-07
15840,9.009470431919908e-07
16320,9.004829735204112e-07
16800,8.999173246593273e-07
17280,9.009589803099516e-07
17760,8.997619147521618e-07
18240,8.998542853078106e-07
18720,8.9993216079165e-07
19200,8.997820941658574e-07
19680,8.989739512799133e-07
20160,8.987378805613844e-07
20640,8.978489631772391e-07
21120,8.982845542959694e-07
21600,8.984526402855408e-07
22080,8.982252666100976e-07
22560,8.974283787210879e-07
23040,8.976929279924661e-07
23520,8.979369567896356e-07
24000,8.967418239080871e-07
24480,8.96687140539143e-07
24960,8.963338018475042e-07
25440,8.974417369245202e-07
25920,8.970417866294156e-07
26400,8.965035931396415e-07
26880,8.961533239926212e-07
27360,8.961942512542009e-07
27840,8.961025628195785e-07
28320,8.944363685259304e-07
28800,8.937756774685113e-07
29280,8.942933504840767e-07
29760,8.939241524785757e-07
30240,8.93403750978905e-07
30720,8.926348868953937e-07
31200,8.933674848776718e-07
31680,8.931553452384833e-07
32160,8.930816193242208e-07
32640,8.921801395445073e-07
33120,8.913360716178431e-07
33600,8.92032403498888e-07
34080,8.920901564124506e-07
34560,8.903828643269662e-07
35040,8.913380042940844e-07
35520,8.908854738365335e-07
36000,8.897918633010704e-07
36480,8.897701491150656e-07
36960,8.911693498703244e-07
37440,8.910866426958819e-07
37920,8.909788107303029e-07
38400,8.909072448659572e-07
38880,8.908965583032113e-07
39360,8.901312753550883e-07
39840,8.893021572475845e-07
40320,8.892289429240918e-07
40800,8.885435818228871e-07
41280,8.900806278688833e-07
41760,8.891150287126948e-07
42240,8.884589419722033e-07
42720,8.884961744115571e-07
43200,8.886111118044937e-07
43680,8.884117619345488e-07
44160,8.886346449799021e-07
44640,8.880105610842293e-07
45120,8.875000503394403e-07
45600,8.871950853972521e-07
46080,8.862780873641896e-07
46560,8.863063385433634e-07
47040,8.861692322170711e-07
47520,8.862001550369314e-07
48000,8.854337352204311e-07
