time_s,actual_deg,setpoint_deg
0.0000,-0.0000,0.0000
0.0333,-0.0000,0.0000
0.0750,-0.0000,0.0000
0.1167,-0.0000,0.0000
0.1583,-0.0000,0.0000
0.2000,-0.0000,0.0000
0.2417,-0.0000,0.0000
0.2750,-0.0000,0.0000
0.3167,-0.0000,0.0000
0.3583,-0.0000,0.0000
0.4000,-0.0000,0.0000
0.4417,-0.0000,0.0000
0.4833,-0.0000,0.0000
0.5167,4.8354,10.0000
0.5583,9.0158,10.0000
0.6000,9.8078,10.0000
0.6417,9.9576,10.0000
0.6833,9.9860,10.0000
0.7250,9.9913,10.0000
0.7583,9.9923,10.0000
0.8000,9.9925,10.0000
0.8417,9.9926,10.0000
0.8833,9.9926,10.0000
0.9250,9.9926,10.0000
0.9667,9.9926,10.0000
1.0000,9.9926,10.0000
1.0417,9.9926,10.0000
1.0833,9.9926,10.0000
1.1250,9.9926,10.0000
1.1667,9.9926,10.0000
1.2083,9.9926,10.0000
1.2417,9.9926,10.0000
1.2833,9.9926,10.0000
1.3250,9.9926,10.0000
1.3667,9.9926,10.0000
1.4083,9.9926,10.0000
1.4500,9.9926,10.0000
1.4917,9.9926,10.0000
1.5250,9.9926,10.0000
1.5667,9.9926,10.0000
1.6083,9.9926,10.0000
1.6500,9.9926,10.0000
1.6917,9.9926,10.0000
1.7333,9.9926,10.0000
1.7667,9.9926,10.0000
1.8083,9.9926,10.0000
1.8500,9.9926,10.0000
1.8917,9.9926,10.0000
1.9333,9.9926,10.0000
1.9750,9.9926,10.0000
2.0083,9.9926,10.0000
2.0500,9.9926,10.0000
2.0917,9.9926,10.0000
2.1333,9.9926,10.0000
2.1750,9.9926,10.0000
2.2167,9.9926,10.0000
2.2500,9.9926,10.0000
2.2917,9.9926,10.0000
2.3333,9.9926,10.0000
2.3750,9.9926,10.0000
2.4167,9.9926,10.0000
2.4583,9.9926,10.0000
2.4917,9.9926,10.0000
2.5333,9.9926,10.0000
2.5750,9.9926,10.0000
2.6167,9.9926,10.0000
2.6583,9.9926,10.0000
2.7000,9.9926,10.0000
2.7417,9.9926,10.0000
2.7750,9.9926,10.0000
2.8167,9.9926,10.0000
2.8583,9.9926,10.0000
2.9000,9.9926,10.0000
2.9417,9.9926,10.0000
2.9833,9.9926,10.0000
3.0167,5.1572,0.0000
3.0583,0.9768,0.0000
3.1000,0.1848,0.0000
3.1417,0.0350,0.0000
3.1833,0.0066,0.0000
3.2250,0.0013,0.0000
3.2583,0.0003,0.0000
3.3000,0.0001,0.0000
3.3417,0.0000,0.0000
3.3833,0.0000,0.0000
3.4250,0.0000,0.0000
3.4667,0.0000,0.0000
3.5000,0.0000,0.0000
3.5417,0.0000,0.0000
3.5833,0.0000,0.0000
3.6250,0.0000,0.0000
3.6667,0.0000,0.0000
3.7083,0.0000,0.0000
3.7417,0.0000,0.0000
3.7833,0.0000,0.0000
3.8250,-0.0000,0.0000
3.8667,-0.0000,0.0000
3.9083,-0.0000,0.0000
3.9500,-0.0000,0.0000
3.9917,-0.0000,0.0000
