time_s,actual_deg,setpoint_deg
0.0000,-0.0031,0.0000
0.0333,0.0008,0.0000
0.0750,0.0010,0.0000
0.1167,-0.0009,0.0000
0.1583,-0.0011,0.0000
0.2000,-0.0008,0.0000
0.2417,-0.0009,0.0000
0.2750,-0.0009,0.0000
0.3167,-0.0009,0.0000
0.3583,-0.0009,0.0000
0.4000,-0.0009,0.0000
0.4417,-0.0009,0.0000
0.4833,-0.0009,0.0000
0.5167,2.8704,30.0000
0.5583,11.2040,30.0000
0.6000,19.5375,30.0000
0.6417,26.1398,30.0000
0.6833,29.3802,30.0000
0.7250,29.9798,30.0000
0.7583,29.9120,30.0000
0.8000,29.9736,30.0000
0.8417,29.9690,30.0000
0.8833,30.0418,30.0000
0.9250,29.9716,30.0000
0.9667,30.0347,30.0000
1.0000,30.0361,30.0000
1.0417,29.9730,30.0000
1.0833,30.0361,30.0000
1.1250,29.9726,30.0000
1.1667,30.0359,30.0000
1.2083,29.9726,30.0000
1.2417,29.9726,30.0000
1.2833,30.0358,30.0000
1.3250,29.9725,30.0000
1.3667,30.0357,30.0000
1.4083,29.9723,30.0000
1.4500,30.0357,30.0000
1.4917,29.9722,30.0000
1.5250,29.9722,30.0000
1.5667,30.0356,30.0000
1.6083,29.9721,30.0000
1.6500,30.0355,30.0000
1.6917,29.9721,30.0000
1.7333,30.0353,30.0000
1.7667,30.0353,30.0000
1.8083,29.9720,30.0000
1.8500,30.0352,30.0000
1.8917,29.9719,30.0000
1.9333,30.0352,30.0000
1.9750,29.9718,30.0000
2.0083,29.9718,30.0000
2.0500,30.0351,30.0000
2.0917,29.9717,30.0000
2.1333,30.0350,30.0000
2.1750,29.9716,30.0000
2.2167,30.0349,30.0000
2.2500,30.0349,30.0000
2.2917,29.9715,30.0000
2.3333,30.0349,30.0000
2.3750,29.9715,30.0000
2.4167,30.0347,30.0000
2.4583,29.9714,30.0000
2.4917,29.9714,30.0000
2.5333,30.0347,30.0000
2.5750,29.9713,30.0000
2.6167,30.0346,30.0000
2.6583,29.9712,30.0000
2.7000,30.0345,30.0000
2.7417,29.9711,30.0000
2.7750,29.9711,30.0000
2.8167,30.0344,30.0000
2.8583,29.9711,30.0000
2.9000,30.0344,30.0000
2.9417,29.9710,30.0000
2.9833,30.0343,30.0000
3.0167,27.2069,0.0000
3.0583,18.8708,0.0000
3.1000,10.5374,0.0000
3.1417,3.9144,0.0000
3.1833,0.6552,0.0000
3.2250,0.0249,0.0000
3.2583,0.0877,0.0000
3.3000,0.0268,0.0000
3.3417,0.0329,0.0000
3.3833,-0.0414,0.0000
3.4250,0.0285,0.0000
3.4667,-0.0344,0.0000
3.5000,-0.0357,0.0000
3.5417,0.0273,0.0000
3.5833,-0.0358,0.0000
3.6250,0.0277,0.0000
3.6667,-0.0358,0.0000
3.7083,0.0277,0.0000
3.7417,0.0277,0.0000
3.7833,-0.0357,0.0000
3.8250,0.0277,0.0000
3.8667,-0.0356,0.0000
3.9083,0.0278,0.0000
3.9500,-0.0356,0.0000
3.9917,0.0278,0.0000
