time_s,actual_deg,setpoint_deg
0.0000,0.0000,0.0000
0.0333,0.0000,0.0000
0.0750,0.0000,0.0000
0.1167,0.0000,0.0000
0.1583,0.0000,0.0000
0.2000,-0.0000,0.0000
0.2417,-0.0000,0.0000
0.2750,0.0000,0.0000
0.3167,-0.0000,0.0000
0.3583,-0.0000,0.0000
0.4000,-0.0000,0.0000
0.4417,-0.0000,0.0000
0.4833,-0.0000,0.0000
0.5167,3.3335,30.0000
0.5583,11.6672,30.0000
0.6000,20.0008,30.0000
0.6417,26.4223,30.0000
0.6833,28.8220,30.0000
0.7250,29.4641,30.0000
0.7583,29.7171,30.0000
0.8000,29.8325,30.0000
0.8417,29.8763,30.0000
0.8833,29.8910,30.0000
0.9250,29.8975,30.0000
0.9667,29.8999,30.0000
1.0000,29.9011,30.0000
1.0417,29.9020,30.0000
1.0833,29.9027,30.0000
1.1250,29.9034,30.0000
1.1667,29.9040,30.0000
1.2083,29.9045,30.0000
1.2417,29.9050,30.0000
1.2833,29.9056,30.0000
1.3250,29.9062,30.0000
1.3667,29.9068,30.0000
1.4083,29.9074,30.0000
1.4500,29.9079,30.0000
1.4917,29.9084,30.0000
1.5250,29.9089,30.0000
1.5667,29.9095,30.0000
1.6083,29.9100,30.0000
1.6500,29.9106,30.0000
1.6917,29.9112,30.0000
1.7333,29.9117,30.0000
1.7667,29.9122,30.0000
1.8083,29.9127,30.0000
1.8500,29.9133,30.0000
1.8917,29.9138,30.0000
1.9333,29.9143,30.0000
1.9750,29.9149,30.0000
2.0083,29.9153,30.0000
2.0500,29.9159,30.0000
2.0917,29.9164,30.0000
2.1333,29.9170,30.0000
2.1750,29.9175,30.0000
2.2167,29.9180,30.0000
2.2500,29.9184,30.0000
2.2917,29.9189,30.0000
2.3333,29.9194,30.0000
2.3750,29.9199,30.0000
2.4167,29.9204,30.0000
2.4583,29.9209,30.0000
2.4917,29.9213,30.0000
2.5333,29.9218,30.0000
2.5750,29.9223,30.0000
2.6167,29.9227,30.0000
2.6583,29.9232,30.0000
2.7000,29.9237,30.0000
2.7417,29.9241,30.0000
2.7750,29.9245,30.0000
2.8167,29.9249,30.0000
2.8583,29.9255,30.0000
2.9000,29.9259,30.0000
2.9417,29.9264,30.0000
2.9833,29.9269,30.0000
3.0167,26.5935,0.0000
3.0583,18.2597,0.0000
3.1000,9.9262,0.0000
3.1417,3.5637,0.0000
3.1833,1.2016,0.0000
3.2250,0.4835,0.0000
3.2583,0.2176,0.0000
3.3000,0.1014,0.0000
3.3417,0.0532,0.0000
3.3833,0.0387,0.0000
3.4250,0.0321,0.0000
3.4667,0.0301,0.0000
3.5000,0.0293,0.0000
3.5417,0.0288,0.0000
3.5833,0.0285,0.0000
3.6250,0.0282,0.0000
3.6667,0.0281,0.0000
3.7083,0.0279,0.0000
3.7417,0.0277,0.0000
3.7833,0.0276,0.0000
3.8250,0.0274,0.0000
3.8667,0.0272,0.0000
3.9083,0.0270,0.0000
3.9500,0.0269,0.0000
3.9917,0.0267,0.0000
