method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h1,0,11,1,34,2.30986,1,5499,11020,-0.0212746,-0.342493,0.303435,0.0569115,0.514749,0.95,0.936473,0.834232,0.624775,0.834232,0.646352,0.763296,0.735397,133,147,0.0761123,1,1,1
h1,1,11,1,83,4.20507,1,10890,660,0.255695,0.153066,-0.221534,-0.343931,0.689097,0.95,1.0124,0.668464,0.518419,0.668464,0.78621,0.621352,0.586354,133,147,0.0815362,-1,1,1
h1,2,11,1,132,4.37191,1,6771,2436,0.110561,-0.338793,-0.177717,0.0331116,0.47061,0.95,0.928787,0.663073,0.542341,0.663073,0.567172,0.709448,0.676141,133,147,0.0789517,-1,1,1
h1,3,11,1,104,1.80389,1,2603,10805,-0.165742,-0.0582237,0.269192,0.0356674,0.445016,0.95,0.976243,0.619946,0.488095,0.632076,0.582691,0.566642,0.527412,133,147,0.079036,1,1,1
h1,4,11,1,171,1.77724,1,912,10057,-0.201639,0.10631,0.264687,0.00983429,0.476203,0.95,0.952348,0.787062,0.595687,0.789757,0.592822,0.630397,0.589781,133,147,0.0962924,-1,1,1
h1,5,11,1,134,4.69991,1,6418,2436,0.0830269,-0.349384,-0.177717,0.0331116,0.462964,0.95,0.897111,0.660377,0.534254,0.660377,0.560072,0.718477,0.686272,133,147,0.0879126,1,1,1
h1,6,11,1,21,4.36284,1,3593,10302,-0.150817,0.132455,0.222526,-0.349716,0.609957,0.95,1.00554,0.657682,0.482929,0.657682,0.672549,0.583721,0.547548,133,147,0.0845814,1,1,1
h1,7,11,1,153,4.7038,0,3537,10907,-0.14829,-0.11206,0.285689,0.0452337,0.461606,0.95,0.963704,0.609164,0.468329,0.609164,0.603617,0.532121,0.494408,133,147,0.077669,1,1,1
h1,8,11,1,94,2.57856,0,2745,10220,-0.164982,0.0977907,0.261646,0.0172234,0.43486,0.95,0.90897,0.739892,0.541891,0.739892,0.600101,0.595764,0.558103,133,147,0.0889854,-1,1,1
h1,9,11,1,156,3.86652,1,3661,10302,-0.147115,0.120241,0.222526,-0.349716,0.59807,0.95,0.935571,0.65903,0.521002,0.669811,0.695425,0.581458,0.545906,133,147,0.0863931,1,1,1
h1,10,11,1,279,5.12464,1,3422,10907,-0.156045,-0.0216017,0.285689,0.0452337,0.446762,0.95,0.856272,0.584906,0.464061,0.603774,0.55457,0.569432,0.530139,133,147,0.0995315,-1,1,1
h1,11,11,1,280,3.19022,1,3801,11020,-0.158261,-0.327012,0.303435,0.0569115,0.600491,0.95,0.941078,0.653639,0.542453,0.660377,0.658884,0.681967,0.650167,133,147,0.0713762,1,1,1
