method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h2,0,22,1,102,3.15952,0,7422,660,0.136694,0.161129,-0.222329,-0.343306,0.619168,1.05,1.0275,0.692828,0.528078,0.698241,0.748258,0.551772,0.516383,106,149,0.0782819,-1,1,1
h2,1,22,1,199,5.32423,0,6355,1819,0.0768166,-0.249273,-0.186354,0.0327301,0.385839,1.05,1.03974,0.588633,0.521651,0.637348,0.520225,0.630361,0.594723,106,149,0.0734557,-1,1,1
h2,2,22,1,318,4.64364,1,4728,11039,-0.100719,-0.166265,0.304684,0.0569029,0.462794,1.05,1.07997,0.581867,0.48613,0.600812,0.639101,0.5307,0.496199,106,149,0.0761964,1,1,1
h2,3,22,1,135,5.66715,1,5121,10223,-0.0588436,0.111953,0.221288,-0.349851,0.540197,1.05,1.00664,0.671177,0.497745,0.671177,0.658218,0.506202,0.468163,106,149,0.0765336,1,1,1
h2,4,22,1,77,3.50823,0,287,9877,-0.230303,0.102942,0.212786,-0.349945,0.6336,1.05,1.10712,0.690122,0.528755,0.690122,0.795921,0.620615,0.582554,106,149,0.0782329,1,1,1
h2,5,22,1,288,2.49944,0,7857,72,0.150614,0.100774,-0.232005,-0.00155163,0.396068,1.05,0.990424,0.715832,0.530108,0.715832,0.59758,0.591041,0.549735,106,149,0.0807678,-1,1,1
h2,6,22,1,93,3.41036,0,5274,10223,-0.0437498,0.167962,0.221288,-0.349851,0.581701,1.05,1.02453,0.767253,0.55018,0.774019,0.704987,0.461944,0.423383,106,149,0.0724973,1,1,1
h2,7,22,1,332,5.00417,1,5941,2116,0.0337105,-0.0192394,-0.180577,0.0329027,0.221194,1.05,1.16099,0.418133,0.385092,0.437077,0.414094,0.482598,0.444358,106,149,0.147338,1,1,1
h2,8,22,1,299,1.71552,0,5677,637,0.00633526,0.233573,-0.226719,-0.343196,0.622117,1.05,1.11236,0.801083,0.553789,0.801083,0.790626,0.449072,0.400752,106,149,0.0851357,-1,1,1
h2,9,22,1,253,5.59204,1,3937,10789,-0.119511,0.0523863,0.248311,0.028616,0.368679,1.05,0.92736,0.568336,0.4629,0.569689,0.497299,0.594246,0.554515,106,149,0.087724,-1,1,1
h2,10,22,1,118,0.947544,0,7523,701,0.136063,0.0442085,-0.205156,0.0152569,0.342816,1.05,0.991711,0.635995,0.495489,0.635995,0.484409,0.603438,0.56129,106,149,0.082869,1,1,1
h2,11,22,1,162,3.46263,1,5545,10223,-0.00869942,0.171717,0.221288,-0.349851,0.570029,1.05,1.05676,0.755074,0.54894,0.755074,0.704946,0.444212,0.404548,106,149,0.0750789,1,1,1
h2,12,22,1,244,6.23057,0,4636,11020,-0.119187,-0.343163,0.300629,0.0538969,0.577912,1.05,1.06028,0.746955,0.577808,0.746955,0.719278,0.694362,0.663963,106,149,0.0714914,-1,1,1
h2,13,22,1,90,4.08015,0,6647,758,0.0961132,0.206048,-0.21784,-0.343538,0.632965,1.05,1.02773,0.740189,0.532927,0.740189,0.779709,0.500563,0.451226,106,149,0.0709523,-1,1,1
h2,14,22,1,276,0.282621,0,3716,10724,-0.147504,0.0421305,0.243099,0.0187893,0.392075,1.05,0.993906,0.608931,0.485904,0.608931,0.537785,0.583046,0.541769,106,149,0.105706,1,1,1
h2,15,22,1,170,2.11403,1,8849,648,0.166042,0.131699,-0.222504,-0.343659,0.613957,1.05,1.01071,0.668471,0.511389,0.668471,0.760751,0.579795,0.542706,106,149,0.0838228,1,1,1
h2,16,22,1,143,5.82642,1,4100,10964,-0.145671,-0.163182,0.291183,0.047905,0.485371,1.05,1.11635,0.594046,0.461434,0.595399,0.651957,0.512866,0.475985,106,149,0.0775995,-1,1,1
h2,17,22,1,301,0.744664,0,5144,11020,-0.0564852,-0.0356312,0.300629,0.0538969,0.368287,1.05,0.970184,0.457375,0.419486,0.473613,0.500152,0.492512,0.455342,106,149,0.0789157,1,1,1
h2,18,22,1,276,2.71592,1,3716,10724,-0.147504,0.0421305,0.243099,0.0187893,0.392075,1.05,0.988515,0.588633,0.471245,0.592693,0.546301,0.554831,0.513697,106,149,0.0888908,1,1,1
h2,19,22,1,159,5.35745,1,10342,315,0.204571,0.0358257,-0.218787,0.00849438,0.424343,1.05,1.088,0.721245,0.559991,0.722598,0.597077,0.608534,0.566457,106,149,0.0809253,1,1,1
h2,20,22,1,175,1.94392,1,5584,10223,-0.0051012,0.108519,0.221288,-0.349851,0.511229,1.05,1.08145,0.684709,0.498985,0.684709,0.648902,0.466349,0.426102,106,149,0.0783151,-1,1,1
h2,21,22,1,199,1.39238,0,6355,1819,0.0768166,-0.249273,-0.186354,0.0327301,0.385839,1.05,0.984475,0.612991,0.486919,0.612991,0.555681,0.631041,0.595336,106,149,0.0857499,1,1,1
h2,22,22,1,205,1.50278,0,1025,10724,-0.193924,0.0386143,0.243099,0.0187893,0.437525,1.05,1.06555,0.70636,0.542851,0.709066,0.594321,0.600138,0.561804,106,149,0.10013,1,1,1
h2,23,22,1,248,3.6883,1,7771,72,0.148093,0.0963488,-0.232005,-0.00155163,0.392512,1.05,0.955155,0.70636,0.53304,0.70636,0.55242,0.599731,0.557631,106,149,0.079477,-1,1,1
h2,24,22,1,0,5.65946,0,8010,72,0.153584,0.104417,-0.232005,-0.00155163,0.399886,1.05,0.964019,0.717185,0.544542,0.717185,0.540346,0.603309,0.561203,106,149,0.0815972,1,1,1
h2,25,22,1,242,5.6613,0,8888,70,0.192494,0.110998,-0.22994,-0.00451851,0.438081,1.05,1.03568,0.809202,0.599346,0.809202,0.594796,0.622625,0.578878,106,149,0.089454,1,1,1
h2,26,22,1,97,3.20512,1,1810,10789,-0.182907,-0.0904207,0.248311,0.028616,0.447672,1.05,1.03593,0.625169,0.48489,0.648173,0.620885,0.553437,0.515344,106,149,0.0773509,1,1,1
h2,27,22,1,338,5.51549,1,8247,2722,0.168359,-0.128613,-0.167755,0.0322943,0.372645,1.05,1.08897,0.584574,0.477898,0.584574,0.513852,0.519774,0.480738,106,149,0.0825891,-1,1,1
h2,28,22,1,343,3.48442,0,7016,2593,0.122805,-0.0569334,-0.170029,0.0301771,0.305654,1.05,1.13025,0.569689,0.451398,0.573748,0.487195,0.544056,0.504886,106,149,0.0768255,-1,1,1
h2,29,22,1,323,3.85794,1,9776,2321,0.195037,-0.121806,-0.173863,0.0274353,0.39798,1.05,0.992474,0.594046,0.490189,0.611637,0.533711,0.591163,0.55028,106,149,0.07683,-1,1,1
h2,30,22,1,293,2.03243,0,2257,10302,-0.172751,0.165101,0.222262,-0.350074,0.649208,1.05,1.08988,0.673884,0.482972,0.673884,0.776181,0.550928,0.514564,106,149,0.0950089,-1,1,1
h2,31,22,1,162,1.55809,0,5545,10223,-0.00869942,0.171717,0.221288,-0.349851,0.570029,1.05,1.00815,0.759134,0.545219,0.759134,0.691544,0.440723,0.405844,106,149,0.0802028,1,1,1
h2,32,22,1,149,2.83803,0,2641,10302,-0.167189,0.193248,0.222262,-0.350074,0.66855,1.05,1.08498,0.673884,0.517366,0.673884,0.784002,0.542316,0.50556,106,149,0.0783189,1,1,1
h2,33,22,1,2,5.98363,1,5149,11039,-0.0559721,-0.0471363,0.304684,0.0569029,0.375508,1.05,1.14672,0.530447,0.42535,0.530447,0.570633,0.484676,0.447246,106,149,0.0809158,1,1,1
h2,34,22,1,146,4.91087,0,4274,11020,-0.137371,-0.233546,0.300629,0.0538969,0.523981,1.05,1.04795,0.623816,0.501917,0.623816,0.703987,0.598851,0.562837,106,149,0.0717433,-1,1,1
h2,35,22,1,212,0.605481,0,1917,10789,-0.187099,-0.0436707,0.248311,0.028616,0.441542,1.05,1.00752,0.562923,0.46042,0.595399,0.580296,0.564785,0.524824,106,149,0.0867626,1,1,1
