method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h2o,0,23,1,104,3.17625,0,2603,10799,-0.165285,-0.0584602,0.263437,0.0320673,0.438271,1.05,1.0483,0.641407,0.495038,0.641407,0.951213,0.629026,0.538333,0.499224,166,142,0.0864759,1,1,1,,
h2o,1,23,1,327,4.05287,0,9518,2321,0.188826,-0.138889,-0.175213,0.0266457,0.399922,1.05,1.04376,0.588633,0.481619,0.588633,0.980539,0.545815,0.580813,0.541652,166,142,0.0764872,-1,1,1,,
h2o,2,23,1,257,5.13931,0,5403,10223,-0.0293579,0.15438,0.220568,-0.3497,0.562642,1.05,1.01718,0.807848,0.558638,0.807848,0.988414,0.680457,0.466361,0.428216,166,142,0.0715685,1,1,1,,
h2o,3,23,1,2,0.391637,0,5149,11020,-0.0562,-0.0474091,0.303155,0.0555534,0.373955,1.05,1.13446,0.525034,0.426703,0.525034,0.973479,0.568787,0.483645,0.447043,166,142,0.081969,-1,1,1,,
h2o,4,23,1,122,4.3806,1,4608,10724,-0.0995522,0.0375547,0.243025,0.0201931,0.343083,1.05,0.998265,0.603518,0.477447,0.603518,0.975652,0.48795,0.577143,0.538,166,142,0.0846554,1,1,1,,
h2o,5,23,1,118,5.44503,1,7523,701,0.136505,0.0447369,-0.206488,0.0147448,0.344701,1.05,0.981155,0.623816,0.489964,0.623816,0.968592,0.483805,0.603866,0.561756,166,142,0.0817969,-1,1,1,,
h2o,6,23,1,249,5.02762,0,1659,10319,-0.197803,0.143081,0.218443,-0.350504,0.645899,1.05,1.07861,0.694181,0.495489,0.694181,0.95773,0.803713,0.553523,0.517914,166,142,0.10569,1,1,1,,
h2o,7,23,1,76,5.38963,1,3124,10220,-0.14763,0.101171,0.259644,0.0148249,0.416871,1.05,0.980453,0.753721,0.559766,0.753721,0.982893,0.56396,0.59729,0.559933,166,142,0.0885913,-1,1,1,,
h2o,8,23,1,115,2.05764,0,3069,10937,-0.145492,-0.0775471,0.289397,0.0464954,0.452233,1.05,1.05419,0.635995,0.501353,0.635995,0.936278,0.647857,0.542472,0.504801,166,142,0.0777774,1,1,1,,
h2o,9,23,1,215,0.27931,1,507,10789,-0.213582,0.0269527,0.249859,0.0291271,0.463624,1.05,1.08168,0.797023,0.595174,0.797023,0.971307,0.62972,0.624432,0.586394,166,142,0.0969789,-1,1,1,,
h2o,10,23,1,39,6.10663,1,4259,11020,-0.13658,-0.327162,0.303155,0.0555534,0.582999,1.05,1.08316,0.711773,0.563374,0.721245,0.982802,0.693121,0.683111,0.650828,166,142,0.0732062,-1,1,1,,
h2o,11,23,1,143,5.39866,0,4100,10964,-0.14479,-0.16378,0.293804,0.0493984,0.487871,1.05,1.02159,0.607578,0.510487,0.607578,0.968592,0.65793,0.518343,0.481413,166,142,0.0791729,-1,1,1,,
h2o,12,23,1,219,2.74274,0,6988,2656,0.120147,-0.0917082,-0.171974,0.0319891,0.317384,1.05,1.18722,0.519621,0.42535,0.546685,0.983617,0.498721,0.531028,0.492701,166,142,0.0855905,-1,1,1,,
h2o,13,23,1,130,2.8874,0,6535,2656,0.0918465,-0.112683,-0.171974,0.0319891,0.301181,1.05,0.896294,0.485792,0.414975,0.49797,0.948135,0.459856,0.466071,0.427234,166,142,0.0838089,1,1,1,,
h2o,14,23,1,220,6.11294,1,2899,10302,-0.15342,0.17578,0.221416,-0.349933,0.645759,1.05,1.11657,0.669824,0.4788,0.669824,0.990405,0.777385,0.53266,0.496009,166,142,0.0909612,1,1,1,,
h2o,15,23,1,339,2.03404,0,7784,2722,0.15093,-0.121492,-0.168968,0.0315943,0.354768,1.05,1.10554,0.580514,0.466283,0.580514,0.959359,0.529572,0.531151,0.493121,166,142,0.0747595,-1,1,1,,
h2o,16,23,1,344,3.58942,1,4127,10937,-0.144,-0.176621,0.289397,0.0464954,0.487598,1.05,0.991036,0.62111,0.522215,0.62111,0.96298,0.635192,0.532424,0.49558,166,142,0.0796043,-1,1,1,,
