method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h3,0,33,1,209,2.68594,0,3854,3453,-0.148292,-0.17313,-0.140798,-0.0872307,0.0871485,1.05,1.047,0.672154,0.579218,0.673525,0.339499,0.823071,0.769342,420,124,0.0731502,-1,1,1
h3,1,33,1,85,4.75803,1,1685,8513,-0.186081,0.0130043,0.181052,-0.237391,0.444418,1.05,1.082,0.685871,0.515889,0.685871,0.63836,0.566354,0.502827,420,124,0.0905726,1,1,1
h3,2,33,1,115,6.06722,0,3069,3224,-0.144746,-0.0782356,-0.138677,0.0603275,0.138928,1.05,1.14832,0.54321,0.485825,0.563786,0.308297,0.690218,0.607415,420,124,0.0810364,1,1,1
h3,3,33,1,142,1.45052,1,1398,6481,-0.198053,0.16757,0.0865211,-0.34864,0.589455,1.05,0.949038,0.496571,0.349223,0.496571,0.768612,0.264898,0.197494,420,124,0.105143,1,1,1
h3,4,33,1,38,1.317,0,1188,6796,-0.203801,0.17565,0.105049,0.0283146,0.342198,1.05,0.981494,0.647462,0.482853,0.651578,0.511411,0.530039,0.454739,420,124,0.0847383,1,1,1
h3,5,33,1,192,1.34728,0,6935,2749,0.117351,-0.187515,-0.154468,0.0652599,0.37342,1.05,1.02434,0.62963,0.491198,0.62963,0.521684,0.577284,0.49735,420,124,0.0776243,-1,1,1
h3,6,33,1,26,0.64478,0,6899,8877,0.113692,-0.10355,0.173271,0.0821228,0.194998,1.05,0.952108,0.668038,0.535551,0.679012,0.394897,0.642254,0.563632,420,124,0.0875472,1,1,1
h3,7,33,1,102,2.21099,0,7422,4306,0.135625,0.163994,-0.111746,0.0605888,0.268132,1.05,1.0252,0.54321,0.430384,0.548697,0.389706,0.503705,0.423509,420,124,0.0829948,1,1,1
h3,8,33,1,284,2.29662,0,5764,10210,0.0115757,-0.27326,0.220093,0.181969,0.500712,1.05,0.976208,0.580247,0.410608,0.580247,0.664077,0.331416,0.276885,420,124,0.0887507,1,1,1
h3,9,33,1,350,0.884375,1,7312,7090,0.13179,-0.0699139,0.133415,-0.262508,0.193276,1.05,0.961204,0.696845,0.571902,0.707819,0.36325,0.76693,0.696887,420,124,0.0921712,1,1,1
h3,10,33,1,38,6.06725,0,1188,6646,-0.203801,0.17565,0.0940533,-0.0639992,0.382404,1.05,1.12109,0.610425,0.477481,0.618656,0.557304,0.500094,0.429398,420,124,0.0844754,-1,1,1
h3,11,33,1,1,1.72615,1,7699,9690,0.142639,-0.134228,0.24404,0.0300751,0.193929,1.05,1.19885,0.644719,0.517033,0.644719,0.396436,0.599012,0.52868,420,124,0.0904902,1,1,1
h3,12,33,1,48,0.700202,0,3274,3747,-0.155908,0.0976639,-0.152134,-0.168016,0.266427,1.05,1.05347,0.765432,0.571788,0.765432,0.502282,0.672164,0.603243,420,124,0.102624,1,1,1
h3,13,33,1,181,1.98839,0,5016,10266,-0.0794039,-0.346125,0.188025,0.175343,0.58612,1.05,1.03187,0.532236,0.377572,0.532236,0.740431,0.335011,0.258809,420,124,0.0788356,-1,1,1
h3,14,33,1,154,4.2802,1,917,2074,-0.198119,0.156185,-0.17166,-0.0588646,0.216824,1.05,1.10744,0.695473,0.572702,0.733882,0.385147,0.702492,0.635271,420,124,0.134952,-1,1,1
h3,15,33,1,118,4.28737,1,7523,8898,0.134081,0.0461788,0.173094,0.0706139,0.0517088,1.05,0.926895,0.56653,0.475766,0.572016,0.300527,0.691667,0.650492,420,124,0.129569,-1,1,1
h3,16,33,1,97,0.298435,1,1810,8186,-0.17927,-0.0922394,0.164949,-0.137177,0.347148,1.05,1.0959,0.62963,0.490512,0.62963,0.507093,0.506883,0.436392,420,124,0.0784845,1,1,1
h3,17,33,1,256,1.06708,0,10399,1698,0.193256,0.136868,-0.191666,-0.0838509,0.443723,1.05,1.06904,0.698217,0.508459,0.707819,0.619813,0.479471,0.427806,420,124,0.0978003,-1,1,1
h3,18,33,1,35,4.25556,0,1295,7439,-0.189176,0.0323601,0.141798,-0.236628,0.426506,1.05,1.02161,0.643347,0.509145,0.652949,0.561148,0.587198,0.5045,420,124,0.0936758,1,1,1
h3,19,33,1,53,5.69381,1,346,2929,-0.202495,-0.0312653,-0.15018,0.111185,0.15209,1.05,0.956355,0.544582,0.521033,0.603567,0.33463,0.795559,0.739127,420,124,0.115125,1,1,1
h3,20,33,1,240,3.38111,0,9047,4184,0.185042,0.0494537,-0.136714,-0.269524,0.453167,1.05,0.999896,0.691358,0.503772,0.691358,0.619935,0.623888,0.546657,420,124,0.0889172,1,1,1
h3,21,33,1,222,6.01071,1,3934,9140,-0.149994,-0.295912,0.163048,0.0457058,0.463624,1.05,1.07409,0.751715,0.55407,0.751715,0.580267,0.65391,0.578952,420,124,0.0740481,1,1,1
h3,22,33,1,28,2.4914,0,10375,60,0.236131,0.100567,-0.234849,0.0246048,0.477068,1.05,1.12532,0.872428,0.651006,0.872428,0.666692,0.66599,0.616143,420,124,0.0946643,1,1,1
