method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h3s,0,33,1,233,2.68594,0,5612,6581,-0.00139141,0.233456,0.0928764,0.18055,0.108487,1.05,0.983286,0.454795,0.428196,0.489041,0.267654,0.643367,0.579985,89,27,0.0729106,-1,1,1
h3s,1,33,1,257,4.75803,1,5403,5743,-0.0286732,0.155472,0.0127792,0.232872,0.0879701,1.05,1.38577,0.426027,0.385274,0.427397,0.281451,0.602285,0.566125,89,27,0.0745098,-1,1,1
h3s,2,33,1,162,6.06722,0,5545,6693,-0.00935364,0.172649,0.103278,0.164106,0.113003,1.05,1.24952,0.473973,0.410845,0.473973,0.261451,0.610059,0.549527,89,27,0.0760075,1,1,1
h3s,3,33,1,233,1.45052,1,5612,5444,-0.00139141,0.233456,-0.0230331,0.192329,0.0464729,1.05,0.991441,0.406849,0.390183,0.438356,0.226189,0.644605,0.61168,89,27,0.0713069,1,1,1
h3s,4,33,1,310,1.317,0,5736,6494,0.0108252,0.154205,0.0871725,0.245283,0.118845,1.05,1.30101,0.465753,0.415982,0.465753,0.287792,0.607003,0.556874,89,27,0.0833272,1,1,1
h3s,5,33,1,257,1.34728,0,5403,5840,-0.0286732,0.155472,0.0222044,0.1551,0.0509731,1.05,1.00005,0.368493,0.362671,0.389041,0.226821,0.575333,0.550702,89,27,0.0728443,-1,1,1
h3s,6,33,1,233,0.64478,0,5612,6444,-0.00139141,0.233456,0.0836649,0.252005,0.0871755,1.05,1.19745,0.527397,0.428082,0.532877,0.305358,0.65766,0.611726,89,27,0.0730106,1,1,1
h3s,7,33,1,257,2.21099,0,5403,6719,-0.0286732,0.155472,0.102982,0.223677,0.148372,1.05,1.18159,0.510959,0.419749,0.510959,0.321815,0.59256,0.525369,89,27,0.0816476,1,1,1
h3s,8,33,1,257,2.29662,0,5403,6634,-0.0286732,0.155472,0.0973301,0.254108,0.16011,1.05,1.20434,0.524658,0.4379,0.524658,0.335422,0.597327,0.528822,89,27,0.0770267,1,1,1
h3s,9,33,1,299,0.884375,1,5677,5736,0.00568771,0.232563,0.0108252,0.154205,0.0790416,1.05,0.856398,0.461644,0.391667,0.461644,0.265539,0.600723,0.573822,89,27,0.0728142,1,1,1
h3s,10,33,1,299,6.06725,0,5677,6352,0.00568771,0.232563,0.0761328,0.240379,0.0711937,1.05,1.35014,0.468493,0.398059,0.468493,0.2732,0.652323,0.616365,89,27,0.073227,-1,1,1
h3s,11,33,1,227,1.72615,1,6895,6470,0.11804,0.228951,0.0840807,0.227825,0.0348871,1.05,0.985316,0.416438,0.400913,0.417808,0.212368,0.699983,0.672375,89,27,0.0728512,1,1,1
h3s,12,33,1,233,0.700202,0,5612,5870,-0.00139141,0.233456,0.0254517,0.151747,0.0860052,1.05,0.864659,0.49863,0.42637,0.505479,0.302846,0.622911,0.563932,89,27,0.0730601,1,1,1
h3s,13,33,1,162,1.98839,0,5545,6470,-0.00935364,0.172649,0.0840807,0.227825,0.1087,1.05,1.10658,0.484931,0.406393,0.484931,0.281754,0.608744,0.553189,89,27,0.0757901,-1,1,1
h3s,14,33,1,162,4.2802,1,5545,5993,-0.00935364,0.172649,0.0399456,0.168188,0.0495731,1.05,0.999669,0.417808,0.366553,0.417808,0.243091,0.57464,0.551045,89,27,0.0749443,1,1,1
h3s,15,33,1,227,4.28737,1,6895,6055,0.11804,0.228951,0.0472393,0.213181,0.0725396,1.05,0.732415,0.460274,0.420091,0.469863,0.240955,0.699136,0.654891,89,27,0.0823198,-1,1,1
h3s,16,33,1,233,0.298435,1,5612,5817,-0.00139141,0.233456,0.0197554,0.201534,0.039146,1.05,1.0038,0.416438,0.39395,0.458904,0.255622,0.63411,0.613635,89,27,0.0711638,-1,1,1
h3s,17,33,1,310,1.06708,0,5736,5780,0.0108252,0.154205,0.0155792,0.208256,0.0545567,1.05,1.00069,0.413699,0.401712,0.438356,0.25506,0.578564,0.556442,89,27,0.102425,1,1,1
h3s,18,33,1,257,4.25556,0,5403,5478,-0.0286732,0.155472,-0.0172577,0.194368,0.040901,1.05,1.03908,0.412329,0.3621,0.424658,0.232631,0.594907,0.571174,89,27,0.0714126,1,1,1
h3s,19,33,1,233,5.69381,1,5612,5323,-0.00139141,0.233456,-0.0372419,0.234364,0.035862,1.05,1.00005,0.405479,0.385388,0.428767,0.236995,0.64197,0.613053,89,27,0.0719494,1,1,1
h3s,20,33,1,90,3.38111,0,6647,6287,0.0966558,0.209372,0.0693378,0.17201,0.0472404,1.05,1.02499,0.393151,0.403539,0.431507,0.241153,0.677008,0.646975,89,27,0.0743045,-1,1,1
h3s,21,33,1,197,6.01071,1,6470,5686,0.0840807,0.227825,0.00573921,0.191486,0.0863591,1.05,0.972808,0.445205,0.402169,0.445205,0.251534,0.670556,0.62572,89,27,0.0723688,-1,1,1
h3s,22,33,1,90,2.4914,0,6647,6423,0.0966558,0.209372,0.0814247,0.243073,0.0379021,1.05,0.979884,0.431507,0.404566,0.438356,0.249973,0.688855,0.663793,89,27,0.0716114,1,1,1
