method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h5_oracle,0,55,1,11,3.53315,0,2006,5892,-0.173119,-0.0127468,0.029274,-0.350521,0.394012,1.05,0.965968,0.483131,0.374157,0.483131,0.587255,0.429698,0.343836,420,137,0.0986154,1,1,1
h5_oracle,1,55,1,173,1.18172,1,10286,3848,0.187589,0.154456,-0.159095,-0.33908,0.603131,1.05,0.991073,0.524966,0.37112,0.524966,0.793838,0.340895,0.276579,420,137,0.105525,-1,1,1
h5_oracle,2,55,1,201,0.905199,0,7662,5892,0.142491,0.0484877,0.029274,-0.350521,0.414938,1.05,0.991366,0.774629,0.560954,0.774629,0.578724,0.660883,0.578806,420,137,0.0858586,-1,1,1
h5_oracle,3,55,1,202,5.68565,0,144,9696,-0.235651,0.0538998,0.209037,-0.341844,0.595282,1.05,1.01867,0.774629,0.562978,0.789474,0.736897,0.629714,0.575614,420,137,0.0900529,-1,1,1
h5_oracle,4,55,1,298,3.57534,0,5919,3848,0.0261269,-0.319493,-0.159095,-0.33908,0.186342,1.05,1.19887,0.716599,0.562528,0.716599,0.377787,0.801559,0.729863,420,137,0.0790675,-1,1,1
h5_oracle,5,55,1,214,0.983108,1,4384,9696,-0.122076,-0.224017,0.209037,-0.341844,0.351558,1.05,1.12731,0.823212,0.600427,0.823212,0.488857,0.715151,0.66652,420,137,0.0782575,-1,1,1
h5_oracle,6,55,1,78,3.15252,1,324,9696,-0.228243,0.0530024,0.209037,-0.341844,0.589207,1.05,1.06252,0.817814,0.571525,0.817814,0.767909,0.630194,0.578432,420,137,0.0938954,1,1,1
h5_oracle,7,55,1,352,0.932074,0,3098,9696,-0.15555,0.0984383,0.209037,-0.341844,0.571698,1.05,1.02536,0.693657,0.526428,0.700405,0.733402,0.585403,0.541524,420,137,0.0839136,-1,1,1
h5_oracle,8,55,1,126,0.169202,0,6357,2578,0.0774097,-0.237549,-0.17065,-0.0983362,0.284612,1.05,1.03622,0.696356,0.540598,0.696356,0.475876,0.670537,0.577847,420,137,0.076325,-1,1,1
h5_oracle,9,55,1,97,4.80313,1,1810,5892,-0.182588,-0.0897226,0.029274,-0.350521,0.336118,1.05,0.955742,0.866397,0.647998,0.870445,0.487053,0.778289,0.713144,420,137,0.083635,1,1,1
h5_oracle,10,55,1,276,3.25645,1,3716,9696,-0.147568,0.0430927,0.209037,-0.341844,0.524802,1.05,1.02261,0.674764,0.518556,0.68691,0.692162,0.598678,0.554478,420,137,0.0824376,1,1,1
h5_oracle,11,55,1,231,2.97653,1,6617,3848,0.0965834,-0.34785,-0.159095,-0.33908,0.25638,1.05,1.05516,0.734143,0.561516,0.734143,0.408151,0.749725,0.678369,420,137,0.0783986,1,1,1
h5_oracle,12,55,1,217,2.66548,0,3432,5892,-0.148991,-0.012701,0.029274,-0.350521,0.38209,1.05,0.913921,0.893387,0.631916,0.893387,0.597487,0.702581,0.642884,420,137,0.0967969,-1,1,1
h5_oracle,13,55,1,32,2.64597,1,7744,5892,0.150359,-0.00901127,0.029274,-0.350521,0.36234,1.05,0.925058,0.632928,0.464687,0.632928,0.55705,0.537529,0.47624,420,137,0.0877597,1,1,1
h5_oracle,14,55,1,214,3.59701,1,4384,9696,-0.122076,-0.224017,0.209037,-0.341844,0.351558,1.05,1.16332,0.782726,0.575124,0.784076,0.497334,0.714771,0.666189,420,137,0.0799973,1,1,1
h5_oracle,15,55,1,145,3.35151,0,10432,3848,0.194153,0.14359,-0.159095,-0.33908,0.598125,1.05,1.06684,0.700405,0.506298,0.700405,0.788806,0.61731,0.557748,420,137,0.0990669,1,1,1
h5_oracle,16,55,1,240,1.33787,1,9047,3848,0.190063,0.0441675,-0.159095,-0.33908,0.51853,1.05,1.05078,0.757085,0.55117,0.757085,0.647751,0.611716,0.538705,420,137,0.0884392,1,1,1
h5_oracle,17,55,1,216,5.76495,1,4376,9696,-0.113088,0.0564814,0.209037,-0.341844,0.512554,1.05,0.977226,0.643725,0.505848,0.647773,0.634872,0.602231,0.562147,420,137,0.0844674,-1,1,1
h5_oracle,18,55,1,326,5.01757,1,8603,3848,0.208333,0.131222,-0.159095,-0.33908,0.596891,1.05,1.05768,0.751687,0.540036,0.751687,0.766043,0.618888,0.554375,420,137,0.0997899,-1,1,1
