method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h6_pulse,0,67,1,163,2.84628,0,10457,70,0.210972,0.0925169,-0.229659,-0.00382519,0.45104,1.05,1.06343,0.785034,0.60034,0.786395,0.98407,0.612404,0.633539,0.589442,59,189,0.0954982,1,1,1,,
h6_pulse,1,67,1,212,3.07052,1,1917,10805,-0.186363,-0.0430498,0.268419,0.0328608,0.461156,1.05,1.02291,0.67483,0.504535,0.682993,0.965152,0.630047,0.563927,0.524354,59,189,0.144685,1,1,1,,
h6_pulse,2,67,1,354,1.2452,0,2052,10223,-0.175236,0.213946,0.214449,-0.351619,0.68682,1.05,1.09044,0.687075,0.523923,0.687075,0.964428,0.775484,0.540122,0.503357,59,189,0.0788762,1,1,1,,
h6_pulse,3,67,1,291,2.11289,0,4918,10964,-0.0755816,-0.0313816,0.294519,0.0479784,0.378514,1.05,1.12345,0.597279,0.457256,0.597279,0.974022,0.586363,0.521162,0.483772,59,189,0.0874123,-1,1,1,,
h6_pulse,4,67,1,198,3.37523,1,4867,11020,-0.0898905,-0.363588,0.303845,0.054204,0.574089,1.05,1.01946,0.793197,0.597392,0.793197,0.989319,0.723675,0.715558,0.686513,59,189,0.0825936,1,1,1,,
h6_pulse,5,67,1,202,4.72739,1,144,10724,-0.235347,0.0539742,0.250419,0.0188713,0.487343,1.05,1.0145,0.835374,0.606803,0.835374,0.967234,0.625954,0.639657,0.60143,59,189,0.0964979,1,1,1,,
h6_pulse,6,67,1,259,2.24792,1,2752,10907,-0.16534,-0.0699024,0.285481,0.0420094,0.464505,1.05,1.051,0.658503,0.502268,0.666667,0.952661,0.644487,0.559372,0.520132,59,189,0.0783265,1,1,1,,
h6_pulse,7,67,1,242,5.18979,0,8888,72,0.195251,0.107119,-0.231571,-0.000921249,0.440356,1.05,1.05637,0.816326,0.602494,0.816326,0.989591,0.603757,0.626078,0.58287,59,189,0.0941859,1,1,1,,
h6_pulse,8,67,1,202,0.389255,0,144,10724,-0.235347,0.0539742,0.250419,0.0188713,0.487343,1.05,1.10248,0.791837,0.60771,0.804082,0.958997,0.641253,0.64533,0.607035,59,189,0.0929159,1,1,1,,
h6_pulse,9,67,1,279,0.915306,0,3422,10907,-0.154636,-0.0204802,0.285481,0.0420094,0.444532,1.05,0.955131,0.635374,0.482426,0.643537,0.968863,0.603445,0.546721,0.507427,59,189,0.11152,1,1,1,,
h6_pulse,10,67,1,13,0.645892,1,10912,758,0.262034,0.160057,-0.216062,-0.342926,0.693991,1.05,1.0332,0.672109,0.493537,0.672109,0.952571,0.792346,0.605188,0.570045,59,189,0.0858405,-1,1,1,,
h6_pulse,11,67,1,160,5.53503,0,2337,10964,-0.179396,-0.206278,0.294519,0.0479784,0.537894,1.05,1.06956,0.628571,0.485374,0.628571,0.975923,0.672957,0.568164,0.531879,59,189,0.0748955,1,1,1,,
h6_pulse,12,67,1,149,2.08519,1,2641,10302,-0.168002,0.193762,0.215473,-0.3519,0.666987,1.05,1.11682,0.697959,0.49127,0.697959,0.991039,0.812534,0.533211,0.498251,59,189,0.0840501,-1,1,1,,
h6_pulse,13,67,1,115,2.4568,0,3069,10937,-0.145014,-0.0762701,0.290137,0.0449381,0.451717,1.05,1.02307,0.6,0.501587,0.6,0.928584,0.618104,0.544481,0.5065,59,189,0.0791556,1,1,1,,
h6_pulse,14,67,1,190,4.8266,1,5189,10223,-0.0533123,0.131351,0.214449,-0.351619,0.5523,1.05,1.00921,0.746939,0.517687,0.746939,0.970673,0.704331,0.475322,0.438335,59,189,0.0741281,1,1,1,,
h6_pulse,15,67,1,39,2.73151,0,4259,11020,-0.135469,-0.325872,0.303845,0.054204,0.58095,1.05,1.08909,0.756463,0.554989,0.756463,0.98407,0.708078,0.68245,0.650159,59,189,0.0757589,-1,1,1,,
