method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h6_shake,0,66,1,91,0.28954,0,10121,72,0.228903,0.038229,-0.232185,-0.000769615,0.462742,1.05,1.09427,0.79567,0.593708,0.79567,0.653586,0.631105,0.588336,144,143,0.09069,-1,1,1
h6_shake,1,66,1,274,5.02655,1,9173,1287,0.187915,-0.0519934,-0.192724,0.0218525,0.387753,1.05,1.17317,0.668471,0.525823,0.669824,0.567082,0.593894,0.553424,144,143,0.0820715,1,1,1
h6_shake,2,66,1,307,1.21355,1,8510,72,0.157167,0.116134,-0.232185,-0.000769615,0.406638,1.05,1.06705,0.694181,0.522779,0.694181,0.584668,0.604596,0.562338,144,143,0.0894195,1,1,1
h6_shake,3,66,1,305,0.0252307,1,4299,10805,-0.120461,0.0142107,0.267317,0.0323858,0.389142,1.05,1.0796,0.67659,0.5106,0.67659,0.554441,0.581039,0.541282,144,143,0.0896855,1,1,1
h6_shake,4,66,1,166,1.89583,0,8696,648,0.187037,0.132618,-0.223001,-0.34295,0.627931,1.05,1.0727,0.692828,0.49876,0.692828,0.7654,0.560136,0.523163,144,143,0.0930617,1,1,1
h6_shake,5,66,1,189,0.954505,0,2319,10724,-0.17789,0.0303392,0.248198,0.0192919,0.427144,1.05,1.05007,0.679296,0.511164,0.68065,0.59543,0.570967,0.530261,144,143,0.0856551,1,1,1
h6_shake,6,66,1,243,5.19871,1,7478,2656,0.140661,-0.132324,-0.171026,0.0336523,0.353158,1.05,1.00234,0.514208,0.459405,0.522327,0.489943,0.51878,0.480663,144,143,0.0799378,-1,1,1
h6_shake,7,66,1,208,4.39237,1,1862,10789,-0.182042,0.0117188,0.248822,0.0301075,0.431623,1.05,1.11829,0.733424,0.547361,0.733424,0.626128,0.592756,0.552942,144,143,0.0854682,-1,1,1
h6_shake,8,66,1,283,0.519398,1,8530,72,0.157504,0.121969,-0.232185,-0.000769615,0.408656,1.05,0.961421,0.76184,0.577808,0.763193,0.55558,0.613262,0.570507,144,143,0.0878789,1,1,1
h6_shake,9,66,1,16,1.10882,0,6891,2436,0.1194,-0.246768,-0.175804,0.0342016,0.407743,1.05,1.08903,0.608931,0.487032,0.611637,0.563772,0.603166,0.566737,144,143,0.0765024,1,1,1
h6_shake,10,66,1,222,5.62617,0,3934,11020,-0.156248,-0.294122,0.303167,0.053381,0.576076,1.05,1.01584,0.635995,0.535183,0.649526,0.70562,0.668854,0.63529,144,143,0.072232,-1,1,1
h6_shake,11,66,1,260,2.4628,0,2043,10220,-0.187175,0.0890274,0.261521,0.0123968,0.456011,1.05,1.09021,0.718539,0.543978,0.718539,0.620543,0.591828,0.550666,144,143,0.0836454,-1,1,1
h6_shake,12,66,1,337,0.291359,1,3682,10907,-0.146134,-0.119126,0.284825,0.0413036,0.459852,1.05,1.08492,0.619756,0.47147,0.619756,0.648509,0.517045,0.480347,144,143,0.0780718,1,1,1
h6_shake,13,66,1,307,4.0847,1,8510,72,0.157167,0.116134,-0.232185,-0.000769615,0.406638,1.05,1.04152,0.710419,0.538227,0.710419,0.581916,0.612241,0.569802,144,143,0.09224,-1,1,1
h6_shake,14,66,1,136,3.65744,0,92,10776,-0.243957,0.0160437,0.244665,0.0273542,0.489117,1.05,1.10823,0.786198,0.605435,0.786198,0.604271,0.651671,0.612735,144,143,0.0786508,-1,1,1
h6_shake,15,66,1,354,4.33356,0,2052,10223,-0.174922,0.214059,0.220878,-0.349751,0.688871,1.05,1.08732,0.683356,0.519057,0.683356,0.776901,0.540355,0.503432,144,143,0.0802349,-1,1,1
h6_shake,16,66,1,344,1.71339,1,4127,10937,-0.144959,-0.175274,0.289413,0.0442238,0.486779,1.05,1.05421,0.596752,0.48816,0.603518,0.653173,0.532703,0.495924,144,143,0.0788449,1,1,1
h6_shake,17,66,1,128,0.579767,0,4565,10964,-0.109525,-0.0939617,0.293851,0.0472097,0.427468,1.05,1.03401,0.595399,0.480041,0.596752,0.589527,0.514175,0.476619,144,143,0.0797389,1,1,1
h6_shake,18,66,1,272,3.35399,1,7898,2321,0.148026,0.0538063,-0.174475,0.028266,0.323745,1.05,0.992816,0.627876,0.502932,0.627876,0.498514,0.623998,0.582237,144,143,0.0837106,1,1,1
h6_shake,19,66,1,163,3.29501,1,10457,72,0.208692,0.0925064,-0.232185,-0.000769615,0.450642,1.05,1.05451,0.787551,0.594835,0.787551,0.611906,0.637006,0.593195,144,143,0.0972113,-1,1,1
h6_shake,20,66,1,30,1.92836,1,1138,10223,-0.202681,0.210212,0.220878,-0.349751,0.702112,1.05,0.995546,0.7023,0.504285,0.7023,0.832288,0.538541,0.500466,144,143,0.0789608,-1,1,1
h6_shake,21,66,1,194,2.36943,1,2925,10724,-0.136316,0.0380106,0.248198,0.0192919,0.385374,1.05,1.09157,0.696888,0.514885,0.696888,0.611016,0.579762,0.538836,144,143,0.0924086,-1,1,1
