method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h7_shoulder,0,77,1,248,0.374856,1,7771,4017,0.147118,0.0944309,-0.134312,0.207625,0.30334,1.05,0.977582,0.725676,0.532545,0.728378,0.456471,0.585562,0.500678,420,88,0.0817657,1,1,1
h7_shoulder,1,77,1,245,0.939309,0,9764,4017,0.212682,0.139501,-0.134312,0.207625,0.353618,1.05,1.04738,0.45,0.357095,0.45,0.566338,0.427058,0.350666,420,88,0.103438,1,1,1
h7_shoulder,2,77,1,190,0.0214836,0,5189,9612,-0.0538092,0.131246,0.193168,0.205422,0.258059,1.05,1.01931,0.627027,0.477928,0.627027,0.418931,0.558686,0.475816,420,88,0.0777386,-1,1,1
h7_shoulder,3,77,1,45,3.96103,0,10394,4017,0.232012,0.167775,-0.134312,0.207625,0.36868,1.05,0.974273,0.658108,0.494257,0.658108,0.517039,0.569307,0.482599,420,88,0.0910562,1,1,1
h7_shoulder,4,77,1,277,2.21586,1,2945,9612,-0.154122,0.226462,0.193168,0.205422,0.348062,1.05,1.02995,0.763514,0.553716,0.763514,0.492527,0.611769,0.526834,420,88,0.0759353,-1,1,1
h7_shoulder,5,77,1,210,1.26522,0,8066,4017,0.170647,0.0926991,-0.134312,0.207625,0.326405,1.05,1.02692,0.732432,0.549887,0.732432,0.471641,0.589257,0.503764,420,88,0.0796129,1,1,1
h7_shoulder,6,77,1,283,0.392523,1,8530,4017,0.157657,0.122022,-0.134312,0.207625,0.304444,1.05,0.995091,0.441892,0.354392,0.441892,0.450675,0.435264,0.352466,420,88,0.095839,1,1,1
h7_shoulder,7,77,1,4,1.90242,1,8825,4017,0.161769,0.164923,-0.134312,0.207625,0.299144,1.05,0.96823,0.741892,0.551239,0.756757,0.500303,0.593604,0.503684,420,88,0.0810293,1,1,1
h7_shoulder,8,77,1,250,2.83847,0,2302,9612,-0.168315,0.13975,0.193168,0.205422,0.367524,1.05,1.00016,0.456757,0.347185,0.456757,0.553658,0.435215,0.336097,420,88,0.100739,-1,1,1
h7_shoulder,9,77,1,66,2.94045,1,10754,4017,0.230033,0.194182,-0.134312,0.207625,0.364629,1.05,1.01696,0.5,0.386712,0.5,0.528571,0.475459,0.388663,420,88,0.0889503,-1,1,1
h7_shoulder,10,77,1,242,2.89001,1,8888,4017,0.195024,0.1071,-0.134312,0.207625,0.344489,1.05,1.04621,0.418919,0.341441,0.418919,0.517165,0.383461,0.301104,420,88,0.0946438,1,1,1
h7_shoulder,11,77,1,312,1.01247,1,2296,9612,-0.171217,0.17288,0.193168,0.205422,0.365897,1.05,1.02418,0.866216,0.611261,0.866216,0.519192,0.578638,0.498433,420,88,0.115252,1,1,1
h7_shoulder,12,77,1,185,1.13928,0,4601,9612,-0.100781,0.142125,0.193168,0.205422,0.300687,1.05,0.868619,0.689189,0.517117,0.689189,0.408717,0.561692,0.478638,420,88,0.0855961,-1,1,1
h7_shoulder,13,77,1,81,1.10995,1,10762,4017,0.238131,0.180767,-0.134312,0.207625,0.373409,1.05,1.05721,0.433784,0.368356,0.433784,0.525027,0.487894,0.408622,420,88,0.104841,1,1,1
h7_shoulder,14,77,1,245,0.292189,1,9764,4017,0.212682,0.139501,-0.134312,0.207625,0.353618,1.05,1.05622,0.409459,0.35732,0.409459,0.532819,0.436565,0.350622,420,88,0.105436,1,1,1
h7_shoulder,15,77,1,292,5.38165,1,1564,9612,-0.184854,0.219287,0.193168,0.205422,0.378279,1.05,0.906905,0.466216,0.37714,0.466216,0.514678,0.446903,0.361926,420,88,0.0891312,-1,1,1
h7_shoulder,16,77,1,66,3.0667,1,10754,4017,0.230033,0.194182,-0.134312,0.207625,0.364629,1.05,1.00629,0.493243,0.383559,0.493243,0.522999,0.4764,0.389379,420,88,0.0885731,-1,1,1
h7_shoulder,17,77,1,277,0.264966,1,2945,9612,-0.154122,0.226462,0.193168,0.205422,0.348062,1.05,0.958662,0.741892,0.554505,0.741892,0.475337,0.601263,0.518497,420,88,0.0803598,1,1,1
h7_shoulder,18,77,1,13,1.77571,1,10912,4017,0.261448,0.160516,-0.134312,0.207625,0.398559,1.05,0.960148,0.418919,0.36036,0.418919,0.521758,0.440433,0.354616,420,88,0.0948476,-1,1,1
h7_shoulder,19,77,1,93,5.47993,1,5274,9612,-0.045002,0.168523,0.193168,0.205422,0.241016,1.05,1.17992,0.662162,0.511036,0.662162,0.433329,0.60289,0.520028,420,88,0.078326,-1,1,1
h7_shoulder,20,77,1,83,0.514718,0,10890,4017,0.25592,0.150687,-0.134312,0.207625,0.394364,1.05,1.03514,0.425676,0.366554,0.432432,0.601144,0.433871,0.350668,420,88,0.0954221,-1,1,1
h7_shoulder,21,77,1,38,4.77846,0,1188,9612,-0.208219,0.177624,0.193168,0.205422,0.402414,1.05,1.01839,0.493243,0.372635,0.493243,0.548465,0.404159,0.320164,420,88,0.0886129,-1,1,1
h7_shoulder,22,77,1,13,2.85681,0,10912,4017,0.261448,0.160516,-0.134312,0.207625,0.398559,1.05,1.05668,0.402703,0.371171,0.404054,0.603949,0.454006,0.358116,420,88,0.0914647,1,1,1
h7_shoulder,23,77,1,261,4.96265,1,9649,4017,0.219347,0.164183,-0.134312,0.207625,0.356362,1.05,0.996356,0.431081,0.362275,0.431081,0.496692,0.455995,0.372296,420,88,0.100484,1,1,1
h7_shoulder,24,77,1,292,2.39474,0,1564,9612,-0.184854,0.219287,0.193168,0.205422,0.378279,1.05,1.05417,0.486486,0.374437,0.486486,0.560241,0.442518,0.35766,420,88,0.0849722,1,1,1
h7_shoulder,25,77,1,138,4.80708,1,830,9612,-0.203674,0.146609,0.193168,0.205422,0.401294,1.05,1.0118,0.451351,0.350788,0.451351,0.528224,0.438158,0.357547,420,88,0.103337,1,1,1
h7_shoulder,26,77,1,30,4.79033,1,1138,9612,-0.203011,0.209934,0.193168,0.205422,0.396204,1.05,1.01112,0.468919,0.364977,0.468919,0.573917,0.428812,0.346415,420,88,0.0841314,1,1,1
h7_shoulder,27,77,1,129,3.38874,0,7775,4017,0.146079,0.106183,-0.134312,0.207625,0.298196,1.05,1.05759,0.514865,0.395946,0.514865,0.428636,0.448188,0.366727,420,88,0.0913776,-1,1,1
h7_shoulder,28,77,1,42,2.63561,0,9253,4017,0.186575,0.0997028,-0.134312,0.207625,0.33869,1.05,1.0378,0.387838,0.329617,0.398649,0.552855,0.402964,0.313941,420,88,0.0958882,-1,1,1
h7_shoulder,29,77,1,293,1.72472,1,2257,9612,-0.173106,0.165461,0.193168,0.205422,0.368448,1.05,0.963436,0.468919,0.361261,0.468919,0.53717,0.429422,0.346884,420,88,0.103753,1,1,1
h7_shoulder,30,77,1,218,4.39932,1,7771,4017,0.147118,0.0944309,-0.134312,0.207625,0.30334,1.05,1.13388,0.535135,0.410135,0.535135,0.454166,0.454117,0.372996,420,88,0.0962453,-1,1,1
h7_shoulder,31,77,1,238,2.56842,1,10380,4017,0.194193,0.107817,-0.134312,0.207625,0.343332,1.05,1.03405,0.408108,0.328941,0.414865,0.558935,0.419784,0.337147,420,88,0.103183,-1,1,1
h7_shoulder,32,77,1,19,5.8903,1,4470,9612,-0.109378,0.185748,0.193168,0.205422,0.303341,1.05,0.942168,0.686486,0.521847,0.686486,0.417811,0.579005,0.49387,420,88,0.0833105,-1,1,1
h7_shoulder,33,77,1,4,2.701,1,8825,4017,0.161769,0.164923,-0.134312,0.207625,0.299144,1.05,1.05563,0.772973,0.545045,0.772973,0.43341,0.588652,0.501978,420,88,0.0849415,-1,1,1
h7_shoulder,34,77,1,256,1.03088,0,10399,4017,0.191034,0.134236,-0.134312,0.207625,0.333521,1.05,1.00705,0.406757,0.35259,0.418919,0.543163,0.468618,0.372072,420,88,0.104386,-1,1,1
h7_shoulder,35,77,1,314,3.86121,1,8872,4017,0.164289,0.126696,-0.134312,0.207625,0.309727,1.05,1.07476,0.436486,0.345045,0.436486,0.444075,0.428004,0.343769,420,88,0.0964509,-1,1,1
h7_shoulder,36,77,1,173,4.38251,0,10286,4017,0.187346,0.154287,-0.134312,0.207625,0.32605,1.05,0.989269,0.404054,0.367342,0.405405,0.517826,0.462986,0.354798,420,88,0.0977104,1,1,1
h7_shoulder,37,77,1,5,2.73232,0,10596,4017,0.23342,0.167074,-0.134312,0.207625,0.369961,1.05,0.986941,0.439189,0.360023,0.439189,0.538656,0.44943,0.365559,420,88,0.0931181,1,1,1
h7_shoulder,38,77,1,293,4.95321,0,2257,9612,-0.173106,0.165461,0.193168,0.205422,0.368448,1.05,0.951326,0.448649,0.353266,0.448649,0.529834,0.427108,0.345838,420,88,0.110403,-1,1,1
h7_shoulder,39,77,1,185,0.478769,1,4601,9612,-0.100781,0.142125,0.193168,0.205422,0.300687,1.05,1.06676,0.706757,0.520833,0.708108,0.460396,0.564427,0.481208,420,88,0.086489,1,1,1
h7_shoulder,40,77,1,170,3.65817,0,8849,4017,0.165362,0.131952,-0.134312,0.207625,0.309381,1.05,0.972086,0.363513,0.338513,0.37973,0.512505,0.446609,0.347783,420,88,0.0908713,-1,1,1
h7_shoulder,41,77,1,190,1.18144,0,5189,9612,-0.0538092,0.131246,0.193168,0.205422,0.258059,1.05,1.16746,0.640541,0.472973,0.640541,0.414137,0.560262,0.477479,420,88,0.0809539,1,1,1
h7_shoulder,42,77,1,54,1.23096,0,9937,4017,0.185057,0.218795,-0.134312,0.207625,0.319564,1.05,1.00258,0.683784,0.509459,0.683784,0.442808,0.613969,0.527495,420,88,0.0768334,-1,1,1
h7_shoulder,43,77,1,92,6.23119,0,9933,4017,0.181176,0.197855,-0.134312,0.207625,0.315639,1.05,1.00627,0.359459,0.362162,0.387838,0.507879,0.480783,0.395291,420,88,0.0900895,-1,1,1
h7_shoulder,44,77,1,81,3.27106,1,10762,4017,0.238131,0.180767,-0.134312,0.207625,0.373409,1.05,0.985319,0.468919,0.380856,0.472973,0.576769,0.486401,0.407485,420,88,0.100909,1,1,1
h7_shoulder,45,77,1,4,2.63495,1,8825,4017,0.161769,0.164923,-0.134312,0.207625,0.299144,1.05,1.06403,0.772973,0.546959,0.772973,0.431248,0.589153,0.502247,420,88,0.0842791,-1,1,1
h7_shoulder,46,77,1,238,4.28664,1,10380,4017,0.194193,0.107817,-0.134312,0.207625,0.343332,1.05,1.05196,0.42973,0.344932,0.42973,0.537609,0.422079,0.339715,420,88,0.100006,1,1,1
h7_shoulder,47,77,1,129,3.17508,0,7775,4017,0.146079,0.106183,-0.134312,0.207625,0.298196,1.05,1.02797,0.524324,0.398423,0.524324,0.433929,0.447173,0.366998,420,88,0.0933985,-1,1,1
h7_shoulder,48,77,1,59,0.15915,0,4286,9612,-0.115348,0.102686,0.193168,0.205422,0.325281,1.05,1.12326,0.708108,0.500338,0.708108,0.489697,0.493126,0.412551,420,88,0.0942922,-1,1,1
h7_shoulder,49,77,1,167,3.24241,0,8147,4017,0.163551,0.0944014,-0.134312,0.207625,0.318837,1.05,1.06262,0.736486,0.540653,0.736486,0.469871,0.579036,0.493639,420,88,0.0938028,-1,1,1
h7_shoulder,50,77,1,47,0.983441,1,9313,4017,0.186354,0.0925016,-0.134312,0.207625,0.340927,1.05,1.04367,0.378378,0.334572,0.389189,0.54153,0.389818,0.306422,420,88,0.0894588,-1,1,1
h7_shoulder,51,77,1,137,1.24253,1,3987,9612,-0.134912,0.140377,0.193168,0.205422,0.334569,1.05,1.1242,0.786486,0.564189,0.786486,0.492035,0.56725,0.487648,420,88,0.0956961,-1,1,1
h7_shoulder,52,77,1,8,4.77397,1,9999,4017,0.198803,0.209076,-0.134312,0.207625,0.333118,1.05,0.983288,0.7,0.528378,0.706757,0.487663,0.582174,0.497663,420,88,0.0817467,1,1,1
h7_shoulder,53,77,1,93,5.16201,0,5274,9612,-0.045002,0.168523,0.193168,0.205422,0.241016,1.05,1.12922,0.655405,0.511261,0.655405,0.434361,0.603634,0.520902,420,88,0.0773332,-1,1,1
h7_shoulder,54,77,1,81,4.10936,0,10762,4017,0.238131,0.180767,-0.134312,0.207625,0.373409,1.05,0.987733,0.428378,0.383559,0.439189,0.501459,0.486525,0.407243,420,88,0.106005,-1,1,1
h7_shoulder,55,77,1,218,0.0762976,1,7771,4017,0.147118,0.0944309,-0.134312,0.207625,0.30334,1.05,0.947939,0.518919,0.406419,0.518919,0.454595,0.45686,0.375385,420,88,0.086551,-1,1,1
h7_shoulder,56,77,1,225,6.11426,0,8041,4017,0.159636,0.0837746,-0.134312,0.207625,0.319175,1.05,0.996251,0.562162,0.421622,0.562162,0.523515,0.458858,0.375789,420,88,0.0985568,1,1,1
h7_shoulder,57,77,1,190,1.10126,1,5189,9612,-0.0538092,0.131246,0.193168,0.205422,0.258059,1.05,1.13712,0.62973,0.478829,0.62973,0.405478,0.560583,0.477784,420,88,0.07909,1,1,1
h7_shoulder,58,77,1,142,3.13559,0,1398,9612,-0.202642,0.169619,0.193168,0.205422,0.39749,1.05,1.03713,0.4,0.345721,0.401351,0.5808,0.389388,0.308213,420,88,0.106143,1,1,1
h7_shoulder,59,77,1,277,3.6214,1,2945,9612,-0.154122,0.226462,0.193168,0.205422,0.348062,1.05,0.958252,0.747297,0.551689,0.747297,0.485601,0.598397,0.515564,420,88,0.0800194,-1,1,1
h7_shoulder,60,77,1,180,4.11233,1,10765,4017,0.25351,0.144893,-0.134312,0.207625,0.392981,1.05,1.08652,0.433784,0.372072,0.435135,0.595562,0.430589,0.343651,420,88,0.0924046,-1,1,1
h7_shoulder,61,77,1,249,3.71052,0,1659,9612,-0.197062,0.144113,0.193168,0.205422,0.395089,1.05,1.08515,0.398649,0.338401,0.402703,0.557876,0.371656,0.290906,420,88,0.103686,1,1,1
h7_shoulder,62,77,1,8,4.13738,0,9999,4017,0.198803,0.209076,-0.134312,0.207625,0.333118,1.05,0.954371,0.683784,0.526351,0.683784,0.445272,0.588018,0.503286,420,88,0.0809169,1,1,1
h7_shoulder,63,77,1,19,4.80247,0,4470,9612,-0.109378,0.185748,0.193168,0.205422,0.303341,1.05,0.926362,0.691892,0.504392,0.691892,0.425204,0.576112,0.493654,420,88,0.085697,-1,1,1
h7_shoulder,64,77,1,293,1.19477,1,2257,9612,-0.173106,0.165461,0.193168,0.205422,0.368448,1.05,0.951184,0.437838,0.349437,0.437838,0.527752,0.427135,0.345991,420,88,0.108252,1,1,1
h7_shoulder,65,77,1,83,0.782001,0,10890,4017,0.25592,0.150687,-0.134312,0.207625,0.394364,1.05,1.01279,0.435135,0.365878,0.435135,0.597239,0.432005,0.349141,420,88,0.0948413,-1,1,1
h7_shoulder,66,77,1,341,0.445164,0,4824,9612,-0.0864658,0.255544,0.193168,0.205422,0.284136,1.05,1.09656,0.571622,0.448198,0.589189,0.488225,0.503149,0.419958,420,88,0.0838709,1,1,1
h7_shoulder,67,77,1,70,4.12166,0,961,9612,-0.214247,0.168494,0.193168,0.205422,0.409139,1.05,0.957712,0.744595,0.541441,0.744595,0.551307,0.548818,0.465202,420,88,0.0888655,-1,1,1
h7_shoulder,68,77,1,242,5.33836,0,8888,4017,0.195024,0.1071,-0.134312,0.207625,0.344489,1.05,1.04579,0.398649,0.338626,0.405405,0.543516,0.392208,0.305111,420,88,0.0993184,1,1,1
h7_shoulder,69,77,1,312,1.58176,0,2296,9612,-0.171217,0.17288,0.193168,0.205422,0.365897,1.05,1.04192,0.840541,0.601464,0.840541,0.496879,0.574291,0.494053,420,88,0.114104,1,1,1
h7_shoulder,70,77,1,190,5.62651,1,5189,9612,-0.0538092,0.131246,0.193168,0.205422,0.258059,1.05,0.957389,0.633784,0.478491,0.633784,0.411648,0.558965,0.476179,420,88,0.0801863,1,1,1
h7_shoulder,71,77,1,124,2.89734,1,9146,4017,0.181451,0.0917101,-0.134312,0.207625,0.336481,1.05,1.05016,0.781081,0.568806,0.781081,0.485318,0.586663,0.501081,420,88,0.0870762,1,1,1
h7_shoulder,72,77,1,93,5.27698,0,5274,9612,-0.045002,0.168523,0.193168,0.205422,0.241016,1.05,1.11682,0.648649,0.506644,0.656757,0.427495,0.603671,0.520839,420,88,0.0765672,-1,1,1
h7_shoulder,73,77,1,173,0.266873,1,10286,4017,0.187346,0.154287,-0.134312,0.207625,0.32605,1.05,1.00591,0.462162,0.356419,0.462162,0.474766,0.43662,0.35367,420,88,0.102007,-1,1,1
h7_shoulder,74,77,1,54,1.80717,0,9937,4017,0.185057,0.218795,-0.134312,0.207625,0.319564,1.05,0.948949,0.701351,0.526013,0.701351,0.439421,0.613499,0.527129,420,88,0.0787666,-1,1,1
h7_shoulder,75,77,1,220,4.89455,0,2899,9612,-0.152755,0.178071,0.193168,0.205422,0.34707,1.05,1.10177,0.662162,0.486036,0.662162,0.479147,0.559437,0.47772,420,88,0.0896538,1,1,1
