method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h8_hem,0,88,1,309,5.33368,1,1878,9696,-0.190233,-0.22521,0.209782,-0.341497,0.416575,1.05,1.05466,0.950269,0.688732,0.954301,0.550454,0.717326,0.665926,160,91,0.0751972,-1,1,1
h8_hem,1,88,1,183,4.5205,0,4310,9696,-0.134125,-0.343162,0.209782,-0.341497,0.343926,1.05,1.05687,0.938172,0.666107,0.938172,0.489986,0.732801,0.684848,160,91,0.0746965,-1,1,1
h8_hem,2,88,1,60,1.62775,1,3920,9696,-0.155919,-0.233874,0.209782,-0.341497,0.381208,1.05,1.10547,0.557796,0.450493,0.557796,0.49332,0.70102,0.650154,160,91,0.0779427,-1,1,1
h8_hem,3,88,1,181,4.75437,1,5016,9696,-0.0791311,-0.344654,0.209782,-0.341497,0.288932,1.05,1.12069,0.811828,0.606743,0.811828,0.423608,0.751185,0.702276,160,91,0.0776206,-1,1,1
h8_hem,4,88,1,244,2.8483,0,4636,9696,-0.119313,-0.343678,0.209782,-0.341497,0.329103,1.05,1.08858,0.611559,0.49496,0.611559,0.475785,0.638695,0.578492,160,91,0.0756655,1,1,1
h8_hem,5,88,1,146,3.83259,1,4274,9696,-0.138621,-0.234014,0.209782,-0.341497,0.364607,1.05,1.14723,0.55914,0.445789,0.55914,0.484316,0.70413,0.655725,160,91,0.0769944,1,1,1
h8_hem,6,88,1,60,1.37685,0,3920,9696,-0.155919,-0.233874,0.209782,-0.341497,0.381208,1.05,1.1054,0.555107,0.450381,0.555107,0.494278,0.687407,0.637207,160,91,0.0780845,-1,1,1
h8_hem,7,88,1,24,4.2256,1,2921,9696,-0.175088,-0.296745,0.209782,-0.341497,0.387556,1.05,1.08426,0.530914,0.438956,0.530914,0.508032,0.682426,0.616344,160,91,0.0772797,-1,1,1
h8_hem,8,88,1,290,4.02372,0,4930,9696,-0.0841227,-0.34627,0.209782,-0.341497,0.294066,1.05,0.954113,0.780914,0.590838,0.780914,0.430089,0.723703,0.667645,160,91,0.080202,1,1,1
h8_hem,9,88,1,103,5.27892,1,7750,3848,0.156912,-0.327803,-0.158952,-0.340571,0.316215,1.05,1.09069,0.907258,0.667115,0.907258,0.468855,0.769877,0.698434,160,91,0.0786392,1,1,1
h8_hem,10,88,1,309,0.571474,0,1878,9696,-0.190233,-0.22521,0.209782,-0.341497,0.416575,1.05,1.05243,1.00672,0.714606,1.00806,0.565906,0.715158,0.665871,160,91,0.0756235,1,1,1
h8_hem,11,88,1,309,5.12049,0,1878,9696,-0.190233,-0.22521,0.209782,-0.341497,0.416575,1.05,1.0571,0.877688,0.641913,0.879032,0.557549,0.718379,0.666927,160,91,0.0732577,-1,1,1
h8_hem,12,88,1,112,4.38679,0,8840,3848,0.173417,-0.218949,-0.158952,-0.340571,0.353922,1.05,1.05199,0.556452,0.459229,0.561828,0.480625,0.705784,0.63449,160,91,0.0804599,1,1,1
h8_hem,13,88,1,60,4.09107,0,3920,9696,-0.155919,-0.233874,0.209782,-0.341497,0.381208,1.05,1.06485,0.591398,0.46651,0.592742,0.484017,0.709617,0.658642,160,91,0.0774844,1,1,1
h8_hem,14,88,1,25,0.585873,1,2870,9696,-0.175639,-0.277855,0.209782,-0.341497,0.390642,1.05,1.09771,1.06183,0.744736,1.06183,0.57548,0.717853,0.666598,160,91,0.0736331,-1,1,1
