method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h8_hem110,0,99,1,181,1.00775,0,5016,9696,-0.0787344,-0.343381,0.208566,-0.342084,0.287305,1.1,1.16332,0.838972,0.63171,0.838972,0.450803,0.750483,0.702298,95,89,0.084676,1,1,1
h8_hem110,1,99,1,309,1.1639,1,1878,9696,-0.188007,-0.224326,0.208566,-0.342084,0.41369,1.1,1.10673,0.876861,0.641182,0.883627,0.549999,0.717468,0.668077,95,89,0.0752325,1,1,1
h8_hem110,2,99,1,146,0.801733,0,4274,9696,-0.135918,-0.232998,0.208566,-0.342084,0.361343,1.1,1.04691,0.598106,0.455796,0.598106,0.500132,0.704621,0.655696,95,89,0.0759579,-1,1,1
h8_hem110,3,99,1,222,3.75316,1,3934,9696,-0.154697,-0.294282,0.208566,-0.342084,0.366404,1.1,1.19139,0.960758,0.681777,0.960758,0.517264,0.729493,0.682681,95,89,0.0729115,1,1,1
h8_hem110,4,99,1,103,3.39432,1,7750,3848,0.15576,-0.328024,-0.158708,-0.338997,0.314754,1.1,1.04087,0.930988,0.678958,0.930988,0.447849,0.769814,0.697739,95,89,0.0855374,1,1,1
h8_hem110,5,99,1,24,5.59337,1,2921,9696,-0.174922,-0.295378,0.208566,-0.342084,0.386415,1.1,1.14299,0.688769,0.521425,0.696888,0.537514,0.711513,0.656232,95,89,0.0764156,-1,1,1
h8_hem110,6,99,1,183,2.87357,1,4310,9696,-0.133192,-0.342109,0.208566,-0.342084,0.341782,1.1,1.1278,0.952639,0.699256,0.952639,0.516976,0.736594,0.688697,95,89,0.0902463,1,1,1
h8_hem110,7,99,1,183,4.62424,0,4310,9696,-0.133192,-0.342109,0.208566,-0.342084,0.341782,1.1,1.10789,0.959405,0.680086,0.959405,0.512407,0.729682,0.682208,95,89,0.0776081,-1,1,1
h8_hem110,8,99,1,60,1.61418,1,3920,9696,-0.153411,-0.232769,0.208566,-0.342084,0.378123,1.1,1.15474,0.589987,0.470907,0.589987,0.508959,0.707491,0.656426,95,89,0.0751822,-1,1,1
h8_hem110,9,99,1,146,2.32271,1,4274,9696,-0.135918,-0.232998,0.208566,-0.342084,0.361343,1.1,1.04557,0.971583,0.688205,0.971583,0.550265,0.719731,0.671541,95,89,0.0812992,-1,1,1
h8_hem110,10,99,1,198,4.33346,1,4867,9696,-0.0899401,-0.363611,0.208566,-0.342084,0.299401,1.1,1.22399,0.722598,0.547136,0.722598,0.46755,0.694011,0.644453,95,89,0.0807698,1,1,1
h8_hem110,11,99,1,39,6.03995,1,4259,9696,-0.136205,-0.326025,0.208566,-0.342084,0.345148,1.1,1.13529,0.694181,0.524583,0.694181,0.516587,0.631772,0.575349,95,89,0.0767302,-1,1,1
h8_hem110,12,99,1,116,2.92621,0,4458,9696,-0.121488,-0.277495,0.208566,-0.342084,0.336322,1.1,1.23361,0.826793,0.616148,0.844384,0.478192,0.724612,0.676048,95,89,0.0768349,1,1,1
h8_hem110,13,99,1,103,5.61864,1,7750,3848,0.15576,-0.328024,-0.158708,-0.338997,0.314754,1.1,1.15436,0.921516,0.675462,0.921516,0.462293,0.768416,0.696624,95,89,0.0866396,1,1,1
