method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
hk_pairs,0,45,1,149,4.42957,1,2641,10195,-0.166611,0.194302,0.216139,-0.341412,0.658425,1.05,1.02502,0.692623,0.499886,0.692623,0.973932,0.807452,0.54257,0.501389,420,145,0.0783393,-1,1,1,1,9
hk_pairs,1,45,1,126,6.25201,1,6357,3682,0.0781794,-0.235918,-0.145237,-0.120049,0.251676,1.05,1.04432,0.673497,0.517532,0.673497,0.974022,0.450682,0.68212,0.578478,420,145,0.0773812,1,1,1,8,6
hk_pairs,2,45,1,69,4.72074,0,6992,4116,0.133078,-0.357527,-0.129105,0.207911,0.623265,1.05,1.1011,0.577869,0.424636,0.581967,0.956553,0.763094,0.369205,0.294955,420,145,0.0811798,-1,1,1,11,2
hk_pairs,3,45,1,126,5.04275,0,6357,224,0.0781794,-0.235918,-0.221721,0.0423927,0.409142,1.05,0.967042,0.63388,0.516052,0.63388,0.9771,0.576238,0.639385,0.575544,420,145,0.0759416,1,1,1,8,3
hk_pairs,4,45,1,193,5.0111,0,8574,3892,0.170078,0.197699,-0.136424,-0.123369,0.4439,1.05,1.04993,0.5,0.406762,0.506831,0.911206,0.577991,0.446388,0.376853,420,145,0.0850437,-1,1,1,2,7
hk_pairs,5,45,1,290,1.86182,0,4930,5978,-0.0828028,-0.344391,0.036871,0.0694427,0.43079,1.05,1.07985,0.431694,0.362363,0.43306,0.945239,0.566333,0.505627,0.423577,420,145,0.0939981,1,1,1,9,5
hk_pairs,6,45,1,310,3.78677,1,5736,9747,0.0107288,0.154242,0.196574,0.196699,0.190706,1.05,1.07241,0.579235,0.45913,0.579235,0.936278,0.337002,0.630527,0.553823,420,145,0.0762974,-1,1,1,0,1
hk_pairs,7,45,1,199,4.58729,0,6355,310,0.0776005,-0.248301,-0.219474,0.0443707,0.417025,1.05,0.977653,0.636612,0.503074,0.636612,0.97004,0.598497,0.651847,0.590651,420,145,0.083033,-1,1,1,8,4
hk_pairs,8,45,1,44,3.79047,1,5645,5930,-0.00140858,-0.144583,0.0371904,-0.349297,0.208321,1.05,1.09381,0.627049,0.502277,0.627049,0.970673,0.404366,0.670024,0.603736,420,145,0.0747336,-1,1,1,8,10
hk_pairs,9,45,1,281,2.87971,1,5959,10964,0.0328846,-0.188906,0.284098,0.0404701,0.340282,1.05,1.04388,0.752732,0.576389,0.752732,0.979272,0.581577,0.713114,0.684021,420,145,0.0733484,-1,1,1,8,3
