time_s,actual_deg,setpoint_deg
0.0000,-0.0031,0.0000
0.0083,-0.0026,0.0000
0.0167,-0.0021,0.0000
0.0250,-0.0017,0.0000
0.0333,-0.0014,0.0000
0.0417,-0.0011,0.0000
0.0500,-0.0010,0.0000
0.0583,-0.0008,0.0000
0.0667,-0.0008,0.0000
0.0750,-0.0008,0.0000
0.0833,-0.0008,0.0000
0.0917,-0.0010,0.0000
0.1000,-0.0011,0.0000
0.1083,-0.0013,0.0000
0.1167,-0.0015,0.0000
0.1250,-0.0017,0.0000
0.1333,-0.0020,0.0000
0.1417,-0.0023,0.0000
0.1500,-0.0026,0.0000
0.1583,-0.0028,0.0000
0.1667,-0.0031,0.0000
0.1750,-0.0035,0.0000
0.1833,-0.0038,0.0000
0.1917,-0.0041,0.0000
0.2000,-0.0044,0.0000
0.2083,-0.0048,0.0000
0.2167,-0.0051,0.0000
0.2250,-0.0055,0.0000
0.2333,-0.0059,0.0000
0.2417,-0.0063,0.0000
0.2500,-0.0067,0.0000
0.2583,-0.0072,0.0000
0.2667,-0.0076,0.0000
0.2750,-0.0081,0.0000
0.2833,-0.0086,0.0000
0.2917,-0.0092,0.0000
0.3000,-0.0097,0.0000
0.3083,-0.0102,0.0000
0.3167,-0.0108,0.0000
0.3250,-0.0113,0.0000
0.3333,-0.0118,0.0000
0.3417,-0.0122,0.0000
0.3500,-0.0127,0.0000
0.3583,-0.0130,0.0000
0.3667,-0.0134,0.0000
0.3750,-0.0137,0.0000
0.3833,-0.0139,0.0000
0.3917,-0.0140,0.0000
0.4000,-0.0140,0.0000
0.4083,-0.0140,0.0000
0.4167,-0.0139,0.0000
0.4250,-0.0137,0.0000
0.4333,-0.0135,0.0000
0.4417,-0.0132,0.0000
0.4500,-0.0128,0.0000
0.4583,-0.0123,0.0000
0.4667,-0.0118,0.0000
0.4750,-0.0113,0.0000
0.4833,-0.0107,0.0000
0.4917,-0.0101,0.0000
0.5000,-0.0095,40.0000
0.5083,1.3438,40.0000
0.5167,2.9738,40.0000
0.5250,4.6376,40.0000
0.5333,6.3043,40.0000
0.5417,7.9709,40.0000
0.5500,9.6376,40.0000
0.5583,11.3043,40.0000
0.5667,12.9710,40.0000
0.5750,14.6377,40.0000
0.5833,16.3044,40.0000
0.5917,17.9711,40.0000
0.6000,19.6378,40.0000
0.6083,21.2924,40.0000
0.6167,22.8772,40.0000
0.6250,24.3552,40.0000
0.6333,25.7213,40.0000
0.6417,26.9787,40.0000
0.6500,28.1315,40.0000
0.6583,29.1845,40.0000
0.6667,30.1431,40.0000
0.6750,31.0132,40.0000
0.6833,31.7981,40.0000
0.6917,32.4831,40.0000
0.7000,33.0532,40.0000
0.7083,33.5032,40.0000
0.7167,33.8349,40.0000
0.7250,34.0554,40.0000
0.7333,34.1750,40.0000
0.7417,34.2083,40.0000
0.7500,34.1727,40.0000
0.7583,34.0857,40.0000
0.7667,33.9630,40.0000
0.7750,33.8184,40.0000
0.7833,33.6601,40.0000
0.7917,33.4869,40.0000
0.8000,33.3008,40.0000
0.8083,33.1069,40.0000
0.8167,32.9116,40.0000
0.8250,32.7210,40.0000
0.8333,32.5411,40.0000
0.8417,32.3765,40.0000
0.8500,32.2309,40.0000
0.8583,32.1067,40.0000
0.8667,32.0055,40.0000
0.8750,31.9276,40.0000
0.8833,31.8727,40.0000
0.8917,31.8395,40.0000
0.9000,31.8264,40.0000
0.9083,31.8311,40.0000
0.9167,31.8511,40.0000
0.9250,31.8835,40.0000
0.9333,31.9240,40.0000
0.9417,31.9682,40.0000
0.9500,32.0131,40.0000
0.9583,32.0563,40.0000
0.9667,32.0959,40.0000
0.9750,32.1310,40.0000
0.9833,32.1614,40.0000
0.9917,32.1874,40.0000
1.0000,32.2095,40.0000
1.0083,32.2303,40.0000
1.0167,32.2529,40.0000
1.0250,32.2783,40.0000
1.0333,32.3066,40.0000
1.0417,32.3373,40.0000
1.0500,32.3693,40.0000
1.0583,32.4016,40.0000
1.0667,32.4333,40.0000
1.0750,32.4645,40.0000
1.0833,32.4955,40.0000
1.0917,32.5262,40.0000
1.1000,32.5566,40.0000
1.1083,32.5861,40.0000
1.1167,32.6143,40.0000
1.1250,32.6403,40.0000
1.1333,32.6635,40.0000
1.1417,32.6830,40.0000
1.1500,32.6981,40.0000
1.1583,32.7082,40.0000
1.1667,32.7129,40.0000
1.1750,32.7119,40.0000
1.1833,32.7051,40.0000
1.1917,32.6928,40.0000
1.2000,32.6755,40.0000
1.2083,32.6535,40.0000
1.2167,32.6278,40.0000
1.2250,32.5992,40.0000
1.2333,32.5686,40.0000
1.2417,32.5372,40.0000
1.2500,32.5058,40.0000
1.2583,32.4756,40.0000
1.2667,32.4473,40.0000
1.2750,32.4217,40.0000
1.2833,32.3995,40.0000
1.2917,32.3813,40.0000
1.3000,32.3674,40.0000
1.3083,32.3582,40.0000
1.3167,32.3537,40.0000
1.3250,32.3541,40.0000
1.3333,32.3592,40.0000
1.3417,32.3689,40.0000
1.3500,32.3831,40.0000
1.3583,32.4013,40.0000
1.3667,32.4234,40.0000
1.3750,32.4487,40.0000
1.3833,32.4771,40.0000
1.3917,32.5077,40.0000
1.4000,32.5402,40.0000
1.4083,32.5738,40.0000
1.4167,32.6079,40.0000
1.4250,32.6418,40.0000
1.4333,32.6748,40.0000
1.4417,32.7061,40.0000
1.4500,32.7350,40.0000
1.4583,32.7609,40.0000
1.4667,32.7833,40.0000
1.4750,32.8016,40.0000
1.4833,32.8156,40.0000
1.4917,32.8248,40.0000
1.5000,32.8295,40.0000
1.5083,32.8294,40.0000
1.5167,32.8248,40.0000
1.5250,32.8161,40.0000
1.5333,32.8035,40.0000
1.5417,32.7877,40.0000
1.5500,32.7693,40.0000
1.5583,32.7489,40.0000
1.5667,32.7273,40.0000
1.5750,32.7050,40.0000
1.5833,32.6828,40.0000
1.5917,32.6614,40.0000
1.6000,32.6413,40.0000
1.6083,32.6232,40.0000
1.6167,32.6075,40.0000
1.6250,32.5946,40.0000
1.6333,32.5849,40.0000
1.6417,32.5784,40.0000
1.6500,32.5753,40.0000
1.6583,32.5757,40.0000
1.6667,32.5795,40.0000
1.6750,32.5867,40.0000
1.6833,32.5972,40.0000
1.6917,32.6106,40.0000
1.7000,32.6269,40.0000
1.7083,32.6457,40.0000
1.7167,32.6667,40.0000
1.7250,32.6894,40.0000
1.7333,32.7135,40.0000
1.7417,32.7385,40.0000
1.7500,32.7640,40.0000
1.7583,32.7894,40.0000
1.7667,32.8142,40.0000
1.7750,32.8380,40.0000
1.7833,32.8602,40.0000
1.7917,32.8804,40.0000
1.8000,32.8982,40.0000
1.8083,32.9133,40.0000
1.8167,32.9254,40.0000
1.8250,32.9343,40.0000
1.8333,32.9399,40.0000
1.8417,32.9422,40.0000
1.8500,32.9412,40.0000
1.8583,32.9372,40.0000
1.8667,32.9305,40.0000
1.8750,32.9213,40.0000
1.8833,32.9101,40.0000
1.8917,32.8972,40.0000
1.9000,32.8831,40.0000
1.9083,32.8685,40.0000
1.9167,32.8536,40.0000
1.9250,32.8391,40.0000
1.9333,32.8253,40.0000
1.9417,32.8128,40.0000
