time_s,actual_deg,setpoint_deg
0.0000,-0.0005,0.0000
0.0083,-0.0010,0.0000
0.0167,-0.0011,0.0000
0.0250,-0.0008,0.0000
0.0333,-0.0001,0.0000
0.0417,0.0009,0.0000
0.0500,0.0024,0.0000
0.0583,0.0041,0.0000
0.0667,0.0060,0.0000
0.0750,0.0081,0.0000
0.0833,0.0103,0.0000
0.0917,0.0124,0.0000
0.1000,0.0145,0.0000
0.1083,0.0164,0.0000
0.1167,0.0180,0.0000
0.1250,0.0193,0.0000
0.1333,0.0202,0.0000
0.1417,0.0207,0.0000
0.1500,0.0208,0.0000
0.1583,0.0204,0.0000
0.1667,0.0195,0.0000
0.1750,0.0183,0.0000
0.1833,0.0167,0.0000
0.1917,0.0147,0.0000
0.2000,0.0126,0.0000
0.2083,0.0102,0.0000
0.2167,0.0078,0.0000
0.2250,0.0054,0.0000
0.2333,0.0031,0.0000
0.2417,0.0009,0.0000
0.2500,-0.0010,0.0000
0.2583,-0.0025,0.0000
0.2667,-0.0037,0.0000
0.2750,-0.0045,0.0000
0.2833,-0.0049,0.0000
0.2917,-0.0048,0.0000
0.3000,-0.0043,0.0000
0.3083,-0.0035,0.0000
0.3167,-0.0022,0.0000
0.3250,-0.0007,0.0000
0.3333,0.0011,0.0000
0.3417,0.0029,0.0000
0.3500,0.0049,0.0000
0.3583,0.0069,0.0000
0.3667,0.0087,0.0000
0.3750,0.0104,0.0000
0.3833,0.0118,0.0000
0.3917,0.0129,0.0000
0.4000,0.0136,0.0000
0.4083,0.0140,0.0000
0.4167,0.0140,0.0000
0.4250,0.0136,0.0000
0.4333,0.0128,0.0000
0.4417,0.0116,0.0000
0.4500,0.0102,0.0000
0.4583,0.0086,0.0000
0.4667,0.0068,0.0000
0.4750,0.0049,0.0000
0.4833,0.0030,0.0000
0.4917,0.0013,0.0000
0.5000,-0.0004,30.0000
0.5083,1.6663,30.0000
0.5167,3.3330,30.0000
0.5250,4.9997,30.0000
0.5333,6.6663,30.0000
0.5417,8.3330,30.0000
0.5500,9.9997,30.0000
0.5583,11.6664,30.0000
0.5667,13.3331,30.0000
0.5750,14.9997,30.0000
0.5833,16.5431,30.0000
0.5917,17.7615,30.0000
0.6000,19.0352,30.0000
0.6083,19.9221,30.0000
0.6167,20.9457,30.0000
0.6250,21.6217,30.0000
0.6333,22.3449,30.0000
0.6417,22.9603,30.0000
0.6500,23.3957,30.0000
0.6583,23.9221,30.0000
0.6667,24.2562,30.0000
0.6750,24.5919,30.0000
0.6833,24.9244,30.0000
0.6917,25.1190,30.0000
0.7000,25.3838,30.0000
0.7083,25.5624,30.0000
0.7167,25.7088,30.0000
0.7250,25.8924,30.0000
0.7333,25.9837,30.0000
0.7417,26.1104,30.0000
0.7500,26.2147,30.0000
0.7583,26.2755,30.0000
0.7667,26.3756,30.0000
0.7750,26.4253,30.0000
0.7833,26.4817,30.0000
0.7917,26.5460,30.0000
0.8000,26.5724,30.0000
0.8083,26.6247,30.0000
0.8167,26.6572,30.0000
0.8250,26.6808,30.0000
0.8333,26.7206,30.0000
0.8417,26.7352,30.0000
0.8500,26.7610,30.0000
0.8583,26.7845,30.0000
0.8667,26.7946,30.0000
0.8750,26.8185,30.0000
0.8833,26.8294,30.0000
0.8917,26.8416,30.0000
0.9000,26.8587,30.0000
0.9083,26.8642,30.0000
0.9167,26.8779,30.0000
0.9250,26.8872,30.0000
0.9333,26.8930,30.0000
0.9417,26.9046,30.0000
0.9500,26.9091,30.0000
0.9583,26.9164,30.0000
0.9667,26.9240,30.0000
0.9750,26.9272,30.0000
0.9833,26.9345,30.0000
0.9917,26.9386,30.0000
1.0000,26.9424,30.0000
1.0083,26.9480,30.0000
1.0167,26.9503,30.0000
1.0250,26.9545,30.0000
1.0333,26.9580,30.0000
1.0417,26.9601,30.0000
1.0500,26.9639,30.0000
1.0583,26.9658,30.0000
1.0667,26.9682,30.0000
1.0750,26.9710,30.0000
1.0833,26.9724,30.0000
1.0917,26.9749,30.0000
1.1000,26.9767,30.0000
1.1083,26.9782,30.0000
1.1167,26.9805,30.0000
1.1250,26.9818,30.0000
1.1333,26.9837,30.0000
1.1417,26.9856,30.0000
1.1500,26.9870,30.0000
1.1583,26.9891,30.0000
1.1667,26.9908,30.0000
1.1750,26.9926,30.0000
1.1833,26.9949,30.0000
1.1917,26.9967,30.0000
1.2000,26.9990,30.0000
1.2083,27.0013,30.0000
1.2167,27.0036,30.0000
1.2250,27.0063,30.0000
1.2333,27.0089,30.0000
1.2417,27.0118,30.0000
1.2500,27.0148,30.0000
1.2583,27.0178,30.0000
1.2667,27.0213,30.0000
1.2750,27.0247,30.0000
1.2833,27.0283,30.0000
1.2917,27.0322,30.0000
1.3000,27.0361,30.0000
1.3083,27.0403,30.0000
1.3167,27.0445,30.0000
1.3250,27.0489,30.0000
1.3333,27.0535,30.0000
1.3417,27.0582,30.0000
1.3500,27.0630,30.0000
1.3583,27.0679,30.0000
1.3667,27.0729,30.0000
1.3750,27.0781,30.0000
1.3833,27.0833,30.0000
1.3917,27.0885,30.0000
1.4000,27.0938,30.0000
1.4083,27.0992,30.0000
1.4167,27.1046,30.0000
1.4250,27.1099,30.0000
1.4333,27.1154,30.0000
1.4417,27.1207,30.0000
1.4500,27.1260,30.0000
1.4583,27.1313,30.0000
1.4667,27.1364,30.0000
1.4750,27.1416,30.0000
1.4833,27.1466,30.0000
1.4917,27.1515,30.0000
1.5000,27.1563,30.0000
1.5083,27.1609,30.0000
1.5167,27.1654,30.0000
1.5250,27.1698,30.0000
1.5333,27.1739,30.0000
1.5417,27.1779,30.0000
1.5500,27.1818,30.0000
1.5583,27.1854,30.0000
1.5667,27.1889,30.0000
1.5750,27.1922,30.0000
1.5833,27.1953,30.0000
1.5917,27.1982,30.0000
1.6000,27.2009,30.0000
1.6083,27.2036,30.0000
1.6167,27.2059,30.0000
1.6250,27.2082,30.0000
1.6333,27.2104,30.0000
1.6417,27.2123,30.0000
1.6500,27.2142,30.0000
1.6583,27.2159,30.0000
1.6667,27.2175,30.0000
1.6750,27.2191,30.0000
1.6833,27.2205,30.0000
1.6917,27.2220,30.0000
1.7000,27.2233,30.0000
1.7083,27.2246,30.0000
1.7167,27.2260,30.0000
1.7250,27.2273,30.0000
1.7333,27.2286,30.0000
1.7417,27.2300,30.0000
1.7500,27.2314,30.0000
1.7583,27.2329,30.0000
1.7667,27.2345,30.0000
1.7750,27.2361,30.0000
1.7833,27.2378,30.0000
1.7917,27.2397,30.0000
1.8000,27.2416,30.0000
1.8083,27.2437,30.0000
1.8167,27.2459,30.0000
1.8250,27.2483,30.0000
1.8333,27.2508,30.0000
1.8417,27.2534,30.0000
1.8500,27.2564,30.0000
1.8583,27.2592,30.0000
1.8667,27.2624,30.0000
1.8750,27.2658,30.0000
1.8833,27.2692,30.0000
1.8917,27.2729,30.0000
1.9000,27.2766,30.0000
1.9083,27.2806,30.0000
1.9167,27.2848,30.0000
1.9250,27.2889,30.0000
1.9333,27.2934,30.0000
1.9417,27.2979,30.0000
1.9500,27.3024,30.0000
1.9583,27.3072,30.0000
1.9667,27.3120,30.0000
1.9750,27.3169,30.0000
1.9833,27.3219,30.0000
1.9917,27.3269,30.0000
2.0000,27.3319,30.0000
2.0083,27.3371,30.0000
2.0167,27.3422,30.0000
2.0250,27.3472,30.0000
2.0333,27.3524,30.0000
2.0417,27.3574,30.0000
2.0500,27.3623,30.0000
2.0583,27.3673,30.0000
2.0667,27.3721,30.0000
2.0750,27.3769,30.0000
2.0833,27.3815,30.0000
2.0917,27.3860,30.0000
2.1000,27.3905,30.0000
2.1083,27.3946,30.0000
2.1167,27.3988,30.0000
2.1250,27.4027,30.0000
2.1333,27.4064,30.0000
2.1417,27.4101,30.0000
2.1500,27.4135,30.0000
2.1583,27.4167,30.0000
2.1667,27.4198,30.0000
2.1750,27.4226,30.0000
2.1833,27.4253,30.0000
2.1917,27.4278,30.0000
2.2000,27.4302,30.0000
2.2083,27.4324,30.0000
2.2167,27.4344,30.0000
2.2250,27.4363,30.0000
2.2333,27.4380,30.0000
2.2417,27.4396,30.0000
2.2500,27.4411,30.0000
2.2583,27.4425,30.0000
2.2667,27.4438,30.0000
2.2750,27.4451,30.0000
2.2833,27.4462,30.0000
2.2917,27.4473,30.0000
2.3000,27.4484,30.0000
2.3083,27.4495,30.0000
2.3167,27.4505,30.0000
2.3250,27.4516,30.0000
2.3333,27.4527,30.0000
2.3417,27.4539,30.0000
2.3500,27.4551,30.0000
2.3583,27.4564,30.0000
2.3667,27.4578,30.0000
2.3750,27.4592,30.0000
2.3833,27.4608,30.0000
2.3917,27.4625,30.0000
2.4000,27.4643,30.0000
2.4083,27.4662,30.0000
2.4167,27.4683,30.0000
2.4250,27.4705,30.0000
2.4333,27.4729,30.0000
2.4417,27.4755,30.0000
2.4500,27.4781,30.0000
2.4583,27.4810,30.0000
2.4667,27.4841,30.0000
2.4750,27.4872,30.0000
2.4833,27.4906,30.0000
2.4917,27.4941,30.0000
2.5000,27.4977,30.0000
2.5083,27.5016,30.0000
2.5167,27.5055,30.0000
2.5250,27.5096,30.0000
2.5333,27.5138,30.0000
2.5417,27.5181,30.0000
2.5500,27.5226,30.0000
2.5583,27.5272,30.0000
2.5667,27.5317,30.0000
2.5750,27.5365,30.0000
2.5833,27.5411,30.0000
2.5917,27.5460,30.0000
2.6000,27.5509,30.0000
2.6083,27.5556,30.0000
2.6167,27.5606,30.0000
2.6250,27.5653,30.0000
2.6333,27.5701,30.0000
2.6417,27.5749,30.0000
2.6500,27.5794,30.0000
2.6583,27.5841,30.0000
2.6667,27.5887,30.0000
2.6750,27.5929,30.0000
2.6833,27.5974,30.0000
2.6917,27.6014,30.0000
2.7000,27.6055,30.0000
2.7083,27.6094,30.0000
2.7167,27.6131,30.0000
2.7250,27.6165,30.0000
2.7333,27.6200,30.0000
2.7417,27.6231,30.0000
2.7500,27.6262,30.0000
2.7583,27.6291,30.0000
2.7667,27.6316,30.0000
2.7750,27.6342,30.0000
2.7833,27.6365,30.0000
2.7917,27.6385,30.0000
2.8000,27.6406,30.0000
2.8083,27.6424,30.0000
2.8167,27.6440,30.0000
2.8250,27.6456,30.0000
2.8333,27.6470,30.0000
2.8417,27.6482,30.0000
2.8500,27.6495,30.0000
2.8583,27.6505,30.0000
2.8667,27.6515,30.0000
2.8750,27.6525,30.0000
2.8833,27.6533,30.0000
2.8917,27.6542,30.0000
2.9000,27.6550,30.0000
2.9083,27.6558,30.0000
2.9167,27.6568,30.0000
2.9250,27.6575,30.0000
2.9333,27.6585,30.0000
2.9417,27.6595,30.0000
2.9500,27.6605,30.0000
2.9583,27.6617,30.0000
2.9667,27.6628,30.0000
2.9750,27.6642,30.0000
2.9833,27.6656,30.0000
2.9917,27.6671,30.0000
3.0000,27.6689,0.0000
3.0083,26.0022,0.0000
3.0167,24.3355,0.0000
3.0250,22.6688,0.0000
3.0333,21.0021,0.0000
3.0417,19.3354,0.0000
3.0500,17.6687,0.0000
3.0583,16.0021,0.0000
3.0667,14.3354,0.0000
3.0750,12.6687,0.0000
3.0833,11.0020,0.0000
3.0917,9.4550,0.0000
3.1000,8.2461,0.0000
3.1083,6.9613,0.0000
3.1167,6.1053,0.0000
3.1250,5.2103,0.0000
3.1333,4.3370,0.0000
3.1417,3.8198,0.0000
3.1500,3.3107,0.0000
3.1583,2.6822,0.0000
3.1667,2.3567,0.0000
3.1750,2.0840,0.0000
3.1833,1.7430,0.0000
3.1917,1.3699,0.0000
3.2000,1.1803,0.0000
3.2083,1.0316,0.0000
3.2167,0.8578,0.0000
3.2250,0.6659,0.0000
3.2333,0.4781,0.0000
3.2417,0.3566,0.0000
3.2500,0.2579,0.0000
3.2583,0.1641,0.0000
3.2667,0.0781,0.0000
3.2750,0.0029,0.0000
3.2833,-0.0595,0.0000
3.2917,-0.1073,0.0000
3.3000,-0.1398,0.0000
3.3083,-0.1566,0.0000
3.3167,-0.1583,0.0000
3.3250,-0.1460,0.0000
3.3333,-0.1214,0.0000
3.3417,-0.0870,0.0000
3.3500,-0.0454,0.0000
3.3583,0.0003,0.0000
3.3667,0.0469,0.0000
3.3750,0.0911,0.0000
3.3833,0.1297,0.0000
3.3917,0.1598,0.0000
3.4000,0.1788,0.0000
3.4083,0.1847,0.0000
3.4167,0.1760,0.0000
3.4250,0.1517,0.0000
3.4333,0.1118,0.0000
3.4417,0.0568,0.0000
3.4500,-0.0122,0.0000
3.4583,-0.0931,0.0000
3.4667,-0.1836,0.0000
3.4750,-0.2331,0.0000
3.4833,-0.2719,0.0000
3.4917,-0.3148,0.0000
3.5000,-0.3605,0.0000
3.5083,-0.4072,0.0000
3.5167,-0.4360,0.0000
3.5250,-0.4573,0.0000
3.5333,-0.4757,0.0000
3.5417,-0.4902,0.0000
3.5500,-0.5000,0.0000
3.5583,-0.5041,0.0000
3.5667,-0.5017,0.0000
3.5750,-0.4923,0.0000
3.5833,-0.4753,0.0000
3.5917,-0.4506,0.0000
3.6000,-0.4182,0.0000
3.6083,-0.3781,0.0000
3.6167,-0.3310,0.0000
3.6250,-0.2775,0.0000
3.6333,-0.2184,0.0000
3.6417,-0.1549,0.0000
3.6500,-0.0880,0.0000
3.6583,-0.0192,0.0000
3.6667,0.0503,0.0000
3.6750,0.1190,0.0000
3.6833,0.1855,0.0000
3.6917,0.2486,0.0000
3.7000,0.3070,0.0000
3.7083,0.3597,0.0000
3.7167,0.4059,0.0000
3.7250,0.4449,0.0000
3.7333,0.4763,0.0000
3.7417,0.4998,0.0000
3.7500,0.5155,0.0000
3.7583,0.5236,0.0000
3.7667,0.5246,0.0000
3.7750,0.5191,0.0000
3.7833,0.5080,0.0000
3.7917,0.4920,0.0000
3.8000,0.4722,0.0000
3.8083,0.4497,0.0000
3.8167,0.4253,0.0000
3.8250,0.4001,0.0000
3.8333,0.3749,0.0000
3.8417,0.3504,0.0000
3.8500,0.3273,0.0000
3.8583,0.3059,0.0000
3.8667,0.2865,0.0000
3.8750,0.2692,0.0000
