time_s,actual_deg,setpoint_deg
0.0000,0.0000,0.0000
0.0083,0.0000,0.0000
0.0167,0.0000,0.0000
0.0250,0.0000,0.0000
0.0333,0.0000,0.0000
0.0417,0.0000,0.0000
0.0500,0.0000,0.0000
0.0583,0.0000,0.0000
0.0667,0.0000,0.0000
0.0750,0.0000,0.0000
0.0833,0.0000,0.0000
0.0917,0.0000,0.0000
0.1000,0.0000,0.0000
0.1083,0.0000,0.0000
0.1167,0.0000,0.0000
0.1250,0.0000,0.0000
0.1333,0.0000,0.0000
0.1417,0.0000,0.0000
0.1500,0.0000,0.0000
0.1583,0.0000,0.0000
0.1667,0.0000,0.0000
0.1750,0.0000,0.0000
0.1833,0.0000,0.0000
0.1917,0.0000,0.0000
0.2000,0.0000,0.0000
0.2083,0.0000,0.0000
0.2167,0.0000,0.0000
0.2250,0.0000,0.0000
0.2333,0.0000,0.0000
0.2417,0.0000,0.0000
0.2500,0.0000,0.0000
0.2583,0.0000,0.0000
0.2667,0.0000,0.0000
0.2750,0.0000,0.0000
0.2833,0.0000,0.0000
0.2917,0.0000,0.0000
0.3000,0.0000,0.0000
0.3083,0.0000,0.0000
0.3167,0.0000,0.0000
0.3250,0.0000,0.0000
0.3333,0.0000,0.0000
0.3417,0.0000,0.0000
0.3500,0.0000,0.0000
0.3583,0.0000,0.0000
0.3667,0.0000,0.0000
0.3750,0.0000,0.0000
0.3833,0.0000,0.0000
0.3917,0.0000,0.0000
0.4000,0.0000,0.0000
0.4083,0.0000,0.0000
0.4167,0.0000,0.0000
0.4250,0.0000,0.0000
0.4333,0.0000,0.0000
0.4417,0.0000,0.0000
0.4500,0.0000,0.0000
0.4583,0.0000,0.0000
0.4667,0.0000,0.0000
0.4750,0.0000,0.0000
0.4833,0.0000,0.0000
0.4917,0.0000,0.0000
0.5000,0.0000,20.0000
0.5083,1.6667,20.0000
0.5167,3.3334,20.0000
0.5250,5.0000,20.0000
0.5333,6.6667,20.0000
0.5417,8.1019,20.0000
0.5500,9.3812,20.0000
0.5583,10.5282,20.0000
0.5667,11.5155,20.0000
0.5750,12.4295,20.0000
0.5833,13.1914,20.0000
0.5917,13.8840,20.0000
0.6000,14.4720,20.0000
0.6083,14.9787,20.0000
0.6167,15.4387,20.0000
0.6250,15.8144,20.0000
0.6333,16.1599,20.0000
0.6417,16.4545,20.0000
0.6500,16.7034,20.0000
0.6583,16.9363,20.0000
0.6667,17.1219,20.0000
0.6750,17.2949,20.0000
0.6833,17.4440,20.0000
0.6917,17.5665,20.0000
0.7000,17.6856,20.0000
0.7083,17.7777,20.0000
0.7167,17.8647,20.0000
0.7250,17.9413,20.0000
0.7333,18.0020,20.0000
0.7417,18.0643,20.0000
0.7500,18.1117,20.0000
0.7583,18.1578,20.0000
0.7667,18.1999,20.0000
0.7750,18.2326,20.0000
0.7833,18.2682,20.0000
0.7917,18.2953,20.0000
0.8000,18.3210,20.0000
0.8083,18.3457,20.0000
0.8167,18.3633,20.0000
0.8250,18.3828,20.0000
0.8333,18.3968,20.0000
0.8417,18.4088,20.0000
0.8500,18.4207,20.0000
0.8583,18.4275,20.0000
0.8667,18.4357,20.0000
0.8750,18.4412,20.0000
0.8833,18.4452,20.0000
0.8917,18.4505,20.0000
0.9000,18.4528,20.0000
0.9083,18.4567,20.0000
0.9167,18.4599,20.0000
0.9250,18.4621,20.0000
0.9333,18.4658,20.0000
0.9417,18.4678,20.0000
0.9500,18.4706,20.0000
0.9583,18.4734,20.0000
0.9667,18.4753,20.0000
0.9750,18.4784,20.0000
0.9833,18.4807,20.0000
0.9917,18.4837,20.0000
1.0000,18.4873,20.0000
1.0083,18.4906,20.0000
1.0167,18.4952,20.0000
1.0250,18.4995,20.0000
1.0333,18.5046,20.0000
1.0417,18.5099,20.0000
1.0500,18.5147,20.0000
1.0583,18.5199,20.0000
1.0667,18.5243,20.0000
1.0750,18.5281,20.0000
1.0833,18.5315,20.0000
1.0917,18.5335,20.0000
1.1000,18.5352,20.0000
1.1083,18.5359,20.0000
1.1167,18.5358,20.0000
1.1250,18.5358,20.0000
1.1333,18.5350,20.0000
1.1417,18.5345,20.0000
1.1500,18.5340,20.0000
1.1583,18.5335,20.0000
1.1667,18.5337,20.0000
1.1750,18.5336,20.0000
1.1833,18.5342,20.0000
1.1917,18.5348,20.0000
1.2000,18.5355,20.0000
1.2083,18.5367,20.0000
1.2167,18.5375,20.0000
1.2250,18.5389,20.0000
1.2333,18.5403,20.0000
1.2417,18.5420,20.0000
1.2500,18.5444,20.0000
1.2583,18.5470,20.0000
1.2667,18.5503,20.0000
1.2750,18.5541,20.0000
1.2833,18.5582,20.0000
1.2917,18.5630,20.0000
1.3000,18.5676,20.0000
1.3083,18.5725,20.0000
1.3167,18.5769,20.0000
1.3250,18.5808,20.0000
1.3333,18.5843,20.0000
1.3417,18.5868,20.0000
1.3500,18.5887,20.0000
1.3583,18.5897,20.0000
1.3667,18.5901,20.0000
1.3750,18.5900,20.0000
1.3833,18.5895,20.0000
1.3917,18.5890,20.0000
1.4000,18.5883,20.0000
1.4083,18.5878,20.0000
1.4167,18.5876,20.0000
1.4250,18.5874,20.0000
1.4333,18.5878,20.0000
1.4417,18.5881,20.0000
1.4500,18.5886,20.0000
1.4583,18.5895,20.0000
1.4667,18.5902,20.0000
1.4750,18.5914,20.0000
1.4833,18.5926,20.0000
1.4917,18.5941,20.0000
1.5000,18.5962,20.0000
1.5083,18.5985,20.0000
1.5167,18.6017,20.0000
1.5250,18.6052,20.0000
1.5333,18.6094,20.0000
1.5417,18.6140,20.0000
1.5500,18.6186,20.0000
1.5583,18.6235,20.0000
1.5667,18.6280,20.0000
1.5750,18.6321,20.0000
1.5833,18.6357,20.0000
1.5917,18.6385,20.0000
1.6000,18.6405,20.0000
1.6083,18.6417,20.0000
1.6167,18.6421,20.0000
1.6250,18.6419,20.0000
1.6333,18.6414,20.0000
1.6417,18.6405,20.0000
1.6500,18.6397,20.0000
1.6583,18.6390,20.0000
1.6667,18.6384,20.0000
1.6750,18.6381,20.0000
1.6833,18.6381,20.0000
1.6917,18.6383,20.0000
1.7000,18.6389,20.0000
1.7083,18.6395,20.0000
1.7167,18.6403,20.0000
1.7250,18.6412,20.0000
1.7333,18.6424,20.0000
1.7417,18.6438,20.0000
1.7500,18.6456,20.0000
1.7583,18.6478,20.0000
1.7667,18.6504,20.0000
1.7750,18.6537,20.0000
1.7833,18.6574,20.0000
1.7917,18.6616,20.0000
1.8000,18.6662,20.0000
1.8083,18.6707,20.0000
1.8167,18.6753,20.0000
1.8250,18.6795,20.0000
1.8333,18.6832,20.0000
1.8417,18.6864,20.0000
1.8500,18.6885,20.0000
1.8583,18.6901,20.0000
1.8667,18.6909,20.0000
1.8750,18.6909,20.0000
1.8833,18.6908,20.0000
1.8917,18.6899,20.0000
1.9000,18.6892,20.0000
1.9083,18.6885,20.0000
1.9167,18.6878,20.0000
1.9250,18.6875,20.0000
1.9333,18.6873,20.0000
1.9417,18.6874,20.0000
1.9500,18.6878,20.0000
1.9583,18.6882,20.0000
1.9667,18.6888,20.0000
1.9750,18.6896,20.0000
1.9833,18.6905,20.0000
1.9917,18.6917,20.0000
2.0000,18.6932,20.0000
2.0083,18.6950,20.0000
2.0167,18.6975,20.0000
2.0250,18.7004,20.0000
2.0333,18.7039,20.0000
2.0417,18.7080,20.0000
2.0500,18.7124,20.0000
2.0583,18.7171,20.0000
2.0667,18.7218,20.0000
2.0750,18.7263,20.0000
2.0833,18.7304,20.0000
2.0917,18.7338,20.0000
2.1000,18.7365,20.0000
2.1083,18.7383,20.0000
2.1167,18.7394,20.0000
2.1250,18.7397,20.0000
2.1333,18.7395,20.0000
2.1417,18.7387,20.0000
2.1500,18.7379,20.0000
2.1583,18.7369,20.0000
2.1667,18.7361,20.0000
2.1750,18.7355,20.0000
2.1833,18.7351,20.0000
2.1917,18.7350,20.0000
2.2000,18.7351,20.0000
2.2083,18.7354,20.0000
2.2167,18.7360,20.0000
2.2250,18.7366,20.0000
2.2333,18.7376,20.0000
2.2417,18.7386,20.0000
2.2500,18.7399,20.0000
2.2583,18.7417,20.0000
2.2667,18.7438,20.0000
2.2750,18.7465,20.0000
2.2833,18.7498,20.0000
2.2917,18.7535,20.0000
2.3000,18.7577,20.0000
2.3083,18.7621,20.0000
2.3167,18.7666,20.0000
2.3250,18.7711,20.0000
2.3333,18.7751,20.0000
2.3417,18.7786,20.0000
2.3500,18.7813,20.0000
2.3583,18.7833,20.0000
2.3667,18.7845,20.0000
2.3750,18.7850,20.0000
2.3833,18.7848,20.0000
2.3917,18.7842,20.0000
2.4000,18.7833,20.0000
2.4083,18.7824,20.0000
2.4167,18.7815,20.0000
2.4250,18.7807,20.0000
2.4333,18.7803,20.0000
2.4417,18.7801,20.0000
2.4500,18.7801,20.0000
2.4583,18.7803,20.0000
2.4667,18.7807,20.0000
2.4750,18.7812,20.0000
2.4833,18.7819,20.0000
2.4917,18.7828,20.0000
2.5000,18.7839,20.0000
2.5083,18.7853,20.0000
2.5167,18.7871,20.0000
2.5250,18.7895,20.0000
2.5333,18.7924,20.0000
2.5417,18.7959,20.0000
2.5500,18.7999,20.0000
2.5583,18.8042,20.0000
2.5667,18.8088,20.0000
2.5750,18.8133,20.0000
2.5833,18.8176,20.0000
2.5917,18.8215,20.0000
2.6000,18.8247,20.0000
2.6083,18.8272,20.0000
2.6167,18.8288,20.0000
2.6250,18.8298,20.0000
2.6333,18.8299,20.0000
2.6417,18.8295,20.0000
2.6500,18.8288,20.0000
2.6583,18.8278,20.0000
2.6667,18.8269,20.0000
2.6750,18.8260,20.0000
2.6833,18.8253,20.0000
2.6917,18.8249,20.0000
2.7000,18.8246,20.0000
2.7083,18.8248,20.0000
2.7167,18.8250,20.0000
2.7250,18.8254,20.0000
2.7333,18.8260,20.0000
2.7417,18.8267,20.0000
2.7500,18.8277,20.0000
2.7583,18.8290,20.0000
2.7667,18.8307,20.0000
2.7750,18.8329,20.0000
2.7833,18.8356,20.0000
2.7917,18.8389,20.0000
2.8000,18.8427,20.0000
2.8083,18.8468,20.0000
2.8167,18.8513,20.0000
2.8250,18.8557,20.0000
2.8333,18.8600,20.0000
2.8417,18.8639,20.0000
2.8500,18.8672,20.0000
2.8583,18.8698,20.0000
2.8667,18.8715,20.0000
2.8750,18.8724,20.0000
2.8833,18.8727,20.0000
2.8917,18.8722,20.0000
2.9000,18.8714,20.0000
2.9083,18.8703,20.0000
2.9167,18.8691,20.0000
2.9250,18.8681,20.0000
2.9333,18.8672,20.0000
2.9417,18.8667,20.0000
2.9500,18.8663,20.0000
2.9583,18.8663,20.0000
2.9667,18.8664,20.0000
2.9750,18.8668,20.0000
2.9833,18.8672,20.0000
2.9917,18.8680,20.0000
3.0000,18.8687,0.0000
3.0083,17.2020,0.0000
3.0167,15.5353,0.0000
3.0250,13.8686,0.0000
3.0333,12.2024,0.0000
3.0417,10.5389,0.0000
3.0500,9.2713,0.0000
3.0583,8.0466,0.0000
3.0667,6.9448,0.0000
3.0750,6.0758,0.0000
3.0833,5.2240,0.0000
3.0917,4.5307,0.0000
3.1000,3.8927,0.0000
3.1083,3.3446,0.0000
3.1167,2.8691,0.0000
3.1250,2.4353,0.0000
3.1333,2.0773,0.0000
3.1417,1.7401,0.0000
3.1500,1.4628,0.0000
3.1583,1.2082,0.0000
3.1667,0.9876,0.0000
3.1750,0.8037,0.0000
3.1833,0.6315,0.0000
3.1917,0.4933,0.0000
3.2000,0.3670,0.0000
3.2083,0.2564,0.0000
3.2167,0.1669,0.0000
3.2250,0.0800,0.0000
3.2333,0.0124,0.0000
3.2417,-0.0484,0.0000
3.2500,-0.1062,0.0000
3.2583,-0.1477,0.0000
3.2667,-0.1809,0.0000
3.2750,-0.2092,0.0000
3.2833,-0.2317,0.0000
3.2917,-0.2479,0.0000
3.3000,-0.2573,0.0000
3.3083,-0.2598,0.0000
3.3167,-0.2551,0.0000
3.3250,-0.2435,0.0000
3.3333,-0.2253,0.0000
3.3417,-0.2009,0.0000
3.3500,-0.1712,0.0000
3.3583,-0.1368,0.0000
3.3667,-0.0987,0.0000
3.3750,-0.0579,0.0000
3.3833,-0.0156,0.0000
3.3917,0.0272,0.0000
3.4000,0.0692,0.0000
3.4083,0.1093,0.0000
3.4167,0.1465,0.0000
3.4250,0.1796,0.0000
3.4333,0.2077,0.0000
3.4417,0.2303,0.0000
3.4500,0.2465,0.0000
3.4583,0.2560,0.0000
3.4667,0.2586,0.0000
3.4750,0.2542,0.0000
3.4833,0.2429,0.0000
3.4917,0.2250,0.0000
3.5000,0.2010,0.0000
3.5083,0.1715,0.0000
3.5167,0.1374,0.0000
3.5250,0.0995,0.0000
3.5333,0.0589,0.0000
3.5417,0.0167,0.0000
3.5500,-0.0259,0.0000
3.5583,-0.0678,0.0000
3.5667,-0.1079,0.0000
3.5750,-0.1450,0.0000
3.5833,-0.1781,0.0000
3.5917,-0.2065,0.0000
3.6000,-0.2292,0.0000
3.6083,-0.2457,0.0000
3.6167,-0.2555,0.0000
3.6250,-0.2584,0.0000
3.6333,-0.2543,0.0000
3.6417,-0.2432,0.0000
3.6500,-0.2256,0.0000
3.6583,-0.2018,0.0000
3.6667,-0.1724,0.0000
3.6750,-0.1384,0.0000
3.6833,-0.1006,0.0000
3.6917,-0.0601,0.0000
3.7000,-0.0179,0.0000
3.7083,0.0248,0.0000
3.7167,0.0668,0.0000
3.7250,0.1069,0.0000
3.7333,0.1442,0.0000
3.7417,0.1775,0.0000
3.7500,0.2060,0.0000
3.7583,0.2290,0.0000
3.7667,0.2457,0.0000
3.7750,0.2557,0.0000
3.7833,0.2587,0.0000
3.7917,0.2547,0.0000
3.8000,0.2437,0.0000
3.8083,0.2260,0.0000
3.8167,0.2022,0.0000
3.8250,0.1728,0.0000
3.8333,0.1387,0.0000
3.8417,0.1009,0.0000
3.8500,0.0603,0.0000
3.8583,0.0181,0.0000
3.8667,-0.0246,0.0000
3.8750,-0.0667,0.0000
3.8833,-0.1069,0.0000
3.8917,-0.1442,0.0000
3.9000,-0.1776,0.0000
3.9083,-0.2061,0.0000
3.9167,-0.2290,0.0000
3.9250,-0.2457,0.0000
3.9333,-0.2556,0.0000
3.9417,-0.2585,0.0000
3.9500,-0.2544,0.0000
3.9583,-0.2433,0.0000
3.9667,-0.2256,0.0000
3.9750,-0.2018,0.0000
3.9833,-0.1724,0.0000
3.9917,-0.1384,0.0000
